##Wavelenght  50386.363
lambda	Flux
0.1nm	---
---------	---------
6409.5866	 0.020007
6409.6283	 0.017889
6409.6700	 0.017820
6409.7117	 0.018564
6409.7535	 0.018802
6409.7952	 0.018973
6409.8369	 0.020222
6409.8786	 0.024564
6409.9204	 0.025391
6409.9621	 0.024591
6410.0038	 0.023812
6410.0455	 0.021850
6410.0873	 0.023962
6410.1290	 0.027045
6410.1707	 0.031431
6410.2124	 0.035086
6410.2542	 0.037478
6410.2959	 0.039049
6410.3376	 0.041407
6410.3793	 0.044764
6410.4211	 0.050291
6410.4628	 0.054420
6410.5045	 0.058819
6410.5462	 0.063579
6410.5880	 0.068555
6410.6297	 0.071997
6410.6714	 0.072194
6410.7131	 0.073731
6410.7549	 0.073243
6410.7966	 0.070668
6410.8383	 0.074435
6410.8800	 0.076753
6410.9218	 0.079325
6410.9635	 0.082721
6411.0052	 0.079712
6411.0469	 0.079903
6411.0887	 0.077989
6411.1304	 0.077251
6411.1721	 0.077359
6411.2138	 0.079661
6411.2556	 0.079757
6411.2973	 0.077869
6411.3390	 0.081144
6411.3807	 0.084682
6411.4225	 0.085010
6411.4642	 0.084871
6411.5059	 0.086262
6411.5476	 0.084457
6411.5894	 0.081482
6411.6311	 0.082094
6411.6728	 0.080853
6411.7145	 0.081711
6411.7563	 0.083410
6411.7980	 0.080756
6411.8397	 0.079447
6411.8814	 0.081003
6411.9232	 0.082675
6411.9649	 0.080322
6412.0066	 0.079703
6412.0483	 0.079797
6412.0901	 0.079443
6412.1318	 0.080371
6412.1735	 0.083211
6412.2152	 0.085509
6412.2570	 0.083966
6412.2987	 0.078013
6412.3404	 0.073483
6412.3821	 0.075651
6412.4239	 0.078231
6412.4656	 0.076733
6412.5073	 0.075354
6412.5490	 0.074522
6412.5908	 0.072595
6412.6325	 0.069938
6412.6742	 0.066548
6412.7159	 0.064326
6412.7577	 0.063615
6412.7994	 0.060669
6412.8411	 0.053337
6412.8828	 0.046310
6412.9246	 0.044408
6412.9663	 0.043838
6413.0080	 0.040662
6413.0497	 0.036197
6413.0915	 0.032499
6413.1332	 0.029176
6413.1749	 0.026616
6413.2166	 0.025263
6413.2584	 0.024102
