##Wavelenght  51000.535
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.021000
6409.6588	 0.012746
6409.6988	 0.010844
6409.7388	 0.010819
6409.7788	 0.017361
6409.8187	 0.017174
6409.8587	 0.020478
6409.8987	 0.013592
6409.9387	 0.010417
6409.9787	 0.013227
6410.0187	 0.022297
6410.0587	 0.025395
6410.0987	 0.026836
6410.1387	 0.023697
6410.1786	 0.030363
6410.2186	 0.037754
6410.2586	 0.034869
6410.2986	 0.035292
6410.3386	 0.034481
6410.3786	 0.044887
6410.4186	 0.050439
6410.4586	 0.054323
6410.4986	 0.058996
6410.5385	 0.063195
6410.5785	 0.067388
6410.6185	 0.064483
6410.6585	 0.063533
6410.6985	 0.074131
6410.7385	 0.081669
6410.7785	 0.089009
6410.8185	 0.089381
6410.8585	 0.082748
6410.8985	 0.081827
6410.9384	 0.092914
6410.9784	 0.090072
6411.0184	 0.084276
6411.0584	 0.095280
6411.0984	 0.088735
6411.1384	 0.088270
6411.1784	 0.093067
6411.2184	 0.093412
6411.2584	 0.093544
6411.2983	 0.096279
6411.3383	 0.093440
6411.3783	 0.091661
6411.4183	 0.091087
6411.4583	 0.093222
6411.4983	 0.096629
6411.5383	 0.096667
6411.5783	 0.093192
6411.6183	 0.089673
6411.6582	 0.087273
6411.6982	 0.085353
6411.7382	 0.085044
6411.7782	 0.083339
6411.8182	 0.089087
6411.8582	 0.089356
6411.8982	 0.085813
6411.9382	 0.091352
6411.9782	 0.081206
6412.0181	 0.084348
6412.0581	 0.082655
6412.0981	 0.075609
6412.1381	 0.080820
6412.1781	 0.082604
6412.2181	 0.086903
6412.2581	 0.080829
6412.2981	 0.079440
6412.3381	 0.079140
6412.3781	 0.079438
6412.4180	 0.077900
6412.4580	 0.074740
6412.4980	 0.070546
6412.5380	 0.066877
6412.5780	 0.067111
6412.6180	 0.067857
6412.6580	 0.067060
6412.6980	 0.066766
6412.7380	 0.059189
6412.7779	 0.054400
6412.8179	 0.059513
6412.8579	 0.059798
6412.8979	 0.052428
6412.9379	 0.049219
6412.9779	 0.046590
6413.0179	 0.035310
6413.0579	 0.031186
6413.0979	 0.025316
6413.1378	 0.021682
