##Wavelenght  50385.371
lambda	Flux
0.1nm	---
---------	---------
6409.5866	 0.020971
6409.6283	 0.021075
6409.6700	 0.020263
6409.7117	 0.020151
6409.7535	 0.020772
6409.7952	 0.020120
6409.8369	 0.018928
6409.8786	 0.017991
6409.9204	 0.018866
6409.9621	 0.020278
6410.0038	 0.021165
6410.0455	 0.021638
6410.0873	 0.024050
6410.1290	 0.028476
6410.1707	 0.027577
6410.2124	 0.026770
6410.2542	 0.030821
6410.2959	 0.038156
6410.3376	 0.041782
6410.3793	 0.048095
6410.4211	 0.057521
6410.4628	 0.054513
6410.5045	 0.057339
6410.5462	 0.063535
6410.5880	 0.066106
6410.6297	 0.065693
6410.6714	 0.068202
6410.7131	 0.073813
6410.7549	 0.075628
6410.7966	 0.079923
6410.8383	 0.078418
6410.8800	 0.082782
6410.9218	 0.082832
6410.9635	 0.077719
6411.0052	 0.079393
6411.0469	 0.082934
6411.0887	 0.082824
6411.1304	 0.080129
6411.1721	 0.079588
6411.2138	 0.079682
6411.2556	 0.088661
6411.2973	 0.085911
6411.3390	 0.090175
6411.3807	 0.083809
6411.4225	 0.085366
6411.4642	 0.087133
6411.5059	 0.087333
6411.5476	 0.082721
6411.5894	 0.084668
6411.6311	 0.084634
6411.6728	 0.084001
6411.7145	 0.078246
6411.7563	 0.077729
6411.7980	 0.078150
6411.8397	 0.077659
6411.8814	 0.085115
6411.9232	 0.082624
6411.9649	 0.078920
6412.0066	 0.080719
6412.0483	 0.078831
6412.0901	 0.080998
6412.1318	 0.081526
6412.1735	 0.078061
6412.2152	 0.081388
6412.2570	 0.079798
6412.2987	 0.076088
6412.3404	 0.071952
6412.3821	 0.071738
6412.4239	 0.071612
6412.4656	 0.070380
6412.5073	 0.069985
6412.5490	 0.068357
6412.5908	 0.064126
6412.6325	 0.064227
6412.6742	 0.067185
6412.7159	 0.064509
6412.7577	 0.059065
6412.7994	 0.056111
6412.8411	 0.049676
6412.8828	 0.042610
6412.9246	 0.041749
6412.9663	 0.042671
6413.0080	 0.038470
6413.0497	 0.033003
6413.0915	 0.028457
6413.1332	 0.024249
6413.1749	 0.023718
6413.2166	 0.021704
6413.2584	 0.020388
