##Wavelenght  51123.355
lambda	Flux
0.1nm	---
---------	---------
6409.7127	 0.011449
6409.7404	 0.016457
6409.7680	 0.023852
6409.7957	 0.017872
6409.8234	 0.020236
6409.8511	 0.030622
6409.8787	 0.031114
6409.9064	 0.025211
6409.9341	 0.022348
6409.9618	 0.027629
6409.9894	 0.024129
6410.0171	 0.012531
6410.0448	 0.014043
6410.0725	 0.018382
6410.1001	 0.018411
6410.1278	 0.023436
6410.1555	 0.030776
6410.1832	 0.034409
6410.2108	 0.032484
6410.2385	 0.033603
6410.2662	 0.042009
6410.2939	 0.046195
6410.3215	 0.045747
6410.3492	 0.046439
6410.3769	 0.051567
6410.4046	 0.058366
6410.4323	 0.061853
6410.4599	 0.061341
6410.4876	 0.061226
6410.5153	 0.065891
6410.5430	 0.069398
6410.5706	 0.071525
6410.5983	 0.076334
6410.6260	 0.077606
6410.6537	 0.074508
6410.6813	 0.073489
6410.7090	 0.075966
6410.7367	 0.081157
6410.7644	 0.087074
6410.7920	 0.089307
6410.8197	 0.087006
6410.8474	 0.085346
6410.8751	 0.087131
6410.9027	 0.090080
6410.9304	 0.086605
6410.9581	 0.080192
6410.9858	 0.076502
6411.0135	 0.074426
6411.0411	 0.077731
6411.0688	 0.086315
6411.0965	 0.084635
6411.1242	 0.079993
6411.1518	 0.086623
6411.1795	 0.090001
6411.2072	 0.087945
6411.2349	 0.088573
6411.2625	 0.087218
6411.2902	 0.085091
6411.3179	 0.087949
6411.3456	 0.086947
6411.3732	 0.082050
6411.4009	 0.084401
6411.4286	 0.091464
6411.4563	 0.093618
6411.4839	 0.082555
6411.5116	 0.077631
6411.5393	 0.088306
6411.5670	 0.095492
6411.5946	 0.092218
6411.6223	 0.083782
6411.6500	 0.083784
6411.6777	 0.087318
6411.7054	 0.087635
6411.7330	 0.093027
6411.7607	 0.092576
6411.7884	 0.078058
6411.8161	 0.076691
6411.8437	 0.084835
6411.8714	 0.083105
6411.8991	 0.080354
6411.9268	 0.081666
6411.9544	 0.084129
6411.9821	 0.083144
6412.0098	 0.080855
6412.0375	 0.083204
6412.0651	 0.084214
6412.0928	 0.083952
6412.1205	 0.089225
6412.1482	 0.089980
