##Wavelenght  49561.352
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.010083
6427.6340	 0.007494
6427.7346	 0.013346
6427.8352	 0.009189
6427.9359	 0.007805
6428.0365	 0.007016
6428.1371	 0.005720
6428.2377	 0.008296
6428.3384	 0.005375
6428.4390	 0.005674
6428.5396	 0.003157
6428.6402	 0.006567
6428.7409	 0.012353
6428.8415	 0.008648
6428.9421	 0.007610
6429.0427	 0.000373
6429.1434	 0.004277
6429.2440	 0.015150
6429.3446	 0.028649
6429.4452	 0.033175
6429.5459	 0.044887
6429.6465	 0.053547
6429.7471	 0.060489
6429.8477	 0.079682
6429.9484	 0.075356
6430.0490	 0.065705
6430.1496	 0.075718
6430.2502	 0.072568
6430.3509	 0.068864
6430.4515	 0.075181
6430.5521	 0.076922
6430.6527	 0.077722
6430.7534	 0.083049
6430.8540	 0.083627
6430.9546	 0.087300
6431.0552	 0.078662
6431.1559	 0.082681
6431.2565	 0.097110
6431.3571	 0.103003
6431.4577	 0.106406
6431.5584	 0.093436
6431.6590	 0.085654
6431.7596	 0.089243
6431.8602	 0.095568
6431.9609	 0.092465
6432.0615	 0.070465
6432.1621	 0.057728
6432.2627	 0.054545
6432.3634	 0.054957
6432.4640	 0.057187
6432.5646	 0.050365
6432.6652	 0.052199
6432.7659	 0.054183
6432.8665	 0.047558
6432.9671	 0.050044
6433.0677	 0.038049
6433.1684	 0.035021
6433.2690	 0.027562
6433.3696	 0.028621
6433.4702	 0.025162
6434.0740	 0.032249
6434.1746	 0.019549
6434.2752	 0.015193
6434.3759	 0.012667
6434.4765	 0.006757
6434.5771	 0.024308
6434.6777	 0.014265
6434.7784	 0.024807
6434.8790	 0.018211
6434.9796	 0.021355
6436.6502	 0.016086
6436.7509	 0.006807
6436.8515	 0.019221
6436.9521	 0.012278
6437.0527	 0.017309
6437.1534	 0.012864
6437.2540	 0.021065
6437.3546	 0.019213
6437.4552	 0.019394
6437.5559	 0.033467
6437.6565	 0.046986
6437.7571	 0.064529
6437.8577	 0.070234
6437.9584	 0.080066
6438.0590	 0.088842
6438.1596	 0.094596
6438.2602	 0.100803
6438.3609	 0.114279
6438.4615	 0.116145
6438.5621	 0.112956
6438.6627	 0.107095
6438.7634	 0.113898
6438.8640	 0.104987
6438.9646	 0.103720
6439.0652	 0.113842
6439.1659	 0.111035
6439.2665	 0.098197
6439.3671	 0.109983
6439.4677	 0.106188
6439.5684	 0.099818
6439.6690	 0.101330
6439.7696	 0.099646
6439.8702	 0.104101
6439.9709	 0.093889
6440.0715	 0.081826
6440.1721	 0.085389
6440.2727	 0.064942
6440.3734	 0.052998
6440.4740	 0.036031
6440.5746	 0.037057
6440.6752	 0.024341
6440.7759	 0.020356
6440.8765	 0.018450
