##Wavelenght  51121.398
lambda	Flux
0.1nm	---
---------	---------
6409.7127	 0.022404
6409.7404	 0.022568
6409.7680	 0.026177
6409.7957	 0.030651
6409.8234	 0.028406
6409.8511	 0.019614
6409.8787	 0.017378
6409.9064	 0.023808
6409.9341	 0.030509
6409.9618	 0.022818
6409.9894	 0.012658
6410.0171	 0.016303
6410.0448	 0.027731
6410.0725	 0.033292
6410.1001	 0.027161
6410.1278	 0.029568
6410.1555	 0.039228
6410.1832	 0.040817
6410.2108	 0.034758
6410.2385	 0.030564
6410.2662	 0.038131
6410.2939	 0.049433
6410.3215	 0.053311
6410.3492	 0.045510
6410.3769	 0.047000
6410.4046	 0.059358
6410.4323	 0.058840
6410.4599	 0.056862
6410.4876	 0.060528
6410.5153	 0.056774
6410.5430	 0.056575
6410.5706	 0.067727
6410.5983	 0.076267
6410.6260	 0.075794
6410.6537	 0.071180
6410.6813	 0.077409
6410.7090	 0.081712
6410.7367	 0.071607
6410.7644	 0.071825
6410.7920	 0.079426
6410.8197	 0.076883
6410.8474	 0.068577
6410.8751	 0.065103
6410.9027	 0.072120
6410.9304	 0.073700
6410.9581	 0.071682
6410.9858	 0.080505
6411.0135	 0.082742
6411.0411	 0.076669
6411.0688	 0.080099
6411.0965	 0.080080
6411.1242	 0.073138
6411.1518	 0.075541
6411.1795	 0.077067
6411.2072	 0.071801
6411.2349	 0.073071
6411.2625	 0.078786
6411.2902	 0.081049
6411.3179	 0.076402
6411.3456	 0.076292
6411.3732	 0.086724
6411.4009	 0.089099
6411.4286	 0.082648
6411.4563	 0.077126
6411.4839	 0.077020
6411.5116	 0.081644
6411.5393	 0.086122
6411.5670	 0.083054
6411.5946	 0.076672
6411.6223	 0.077245
6411.6500	 0.081763
6411.6777	 0.085898
6411.7054	 0.087386
6411.7330	 0.086134
6411.7607	 0.084484
6411.7884	 0.085459
6411.8161	 0.085240
6411.8437	 0.080872
6411.8714	 0.074615
6411.8991	 0.076205
6411.9268	 0.085634
6411.9544	 0.087009
6411.9821	 0.084170
6412.0098	 0.084547
6412.0375	 0.085919
6412.0651	 0.087762
6412.0928	 0.089694
6412.1205	 0.089148
6412.1482	 0.087492
