##Wavelenght  49552.340
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.008312
6427.6340	 0.002145
6427.7346	 0.005858
6427.8352	 0.010473
6427.9359	 0.011636
6428.0365	 0.011431
6428.1371	 0.014210
6428.2377	 0.010629
6428.3384	 0.011583
6428.4390	 0.009038
6428.5396	 0.002660
6428.6402	 0.005250
6428.7409	-0.003781
6428.8415	-0.007580
6428.9421	 0.010769
6429.0427	 0.009127
6429.1434	 0.009623
6429.2440	 0.018091
6429.3446	 0.021728
6429.4452	 0.028121
6429.5459	 0.040548
6429.6465	 0.051186
6429.7471	 0.058197
6429.8477	 0.065526
6429.9484	 0.070768
6430.0490	 0.069227
6430.1496	 0.078772
6430.2502	 0.081699
6430.3509	 0.077184
6430.4515	 0.077320
6430.5521	 0.076768
6430.6527	 0.076734
6430.7534	 0.082215
6430.8540	 0.074776
6430.9546	 0.081672
6431.0552	 0.080732
6431.1559	 0.080094
6431.2565	 0.082922
6431.3571	 0.073808
6431.4577	 0.077265
6431.5584	 0.084418
6431.6590	 0.090540
6431.7596	 0.088063
6431.8602	 0.082881
6431.9609	 0.084055
6432.0615	 0.076957
6432.1621	 0.070113
6432.2627	 0.069354
6432.3634	 0.058400
6432.4640	 0.050030
6432.5646	 0.047367
6432.6652	 0.043612
6432.7659	 0.043790
6432.8665	 0.052331
6432.9671	 0.048025
6433.0677	 0.045644
6433.1684	 0.042582
6433.2690	 0.047944
6433.3696	 0.044165
6433.4702	 0.041723
6434.0740	 0.026558
6434.1746	 0.023683
6434.2752	 0.021189
6434.3759	 0.016528
6434.4765	 0.014732
6434.5771	 0.013757
6434.6777	 0.010624
6434.7784	 0.007546
6434.8790	 0.006845
6434.9796	 0.005965
6436.6502	 0.013112
6436.7509	 0.009071
6436.8515	 0.006720
6436.9521	 0.011359
6437.0527	 0.014241
6437.1534	 0.016526
6437.2540	 0.019261
6437.3546	 0.019936
6437.4552	 0.026686
6437.5559	 0.035385
6437.6565	 0.041224
6437.7571	 0.052292
6437.8577	 0.066947
6437.9584	 0.081444
6438.0590	 0.089946
6438.1596	 0.095242
6438.2602	 0.105150
6438.3609	 0.110350
6438.4615	 0.113033
6438.5621	 0.116236
6438.6627	 0.111205
6438.7634	 0.108362
6438.8640	 0.107840
6438.9646	 0.106093
6439.0652	 0.102582
6439.1659	 0.101768
6439.2665	 0.102401
6439.3671	 0.102123
6439.4677	 0.099032
6439.5684	 0.098909
6439.6690	 0.102969
6439.7696	 0.101558
6439.8702	 0.097107
6439.9709	 0.087293
6440.0715	 0.080992
6440.1721	 0.078629
6440.2727	 0.068758
6440.3734	 0.055974
6440.4740	 0.043131
6440.5746	 0.031601
6440.6752	 0.025291
6440.7759	 0.018795
6440.8765	 0.012455
