##Wavelenght  49558.562
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.007750
6427.6340	 0.003588
6427.7346	 0.018854
6427.8352	 0.004389
6427.9359	 0.001912
6428.0365	 0.002657
6428.1371	 0.010261
6428.2377	 0.011279
6428.3384	 0.006721
6428.4390	 0.012760
6428.5396	-0.000300
6428.6402	-0.003630
6428.7409	-0.002052
6428.8415	 0.000013
6428.9421	 0.002491
6429.0427	 0.009173
6429.1434	 0.012653
6429.2440	 0.009118
6429.3446	 0.013438
6429.4452	 0.026089
6429.5459	 0.040325
6429.6465	 0.057120
6429.7471	 0.056526
6429.8477	 0.076043
6429.9484	 0.076978
6430.0490	 0.077417
6430.1496	 0.079044
6430.2502	 0.076550
6430.3509	 0.075915
6430.4515	 0.075661
6430.5521	 0.077681
6430.6527	 0.076819
6430.7534	 0.076607
6430.8540	 0.077552
6430.9546	 0.092967
6431.0552	 0.086453
6431.1559	 0.086060
6431.2565	 0.091263
6431.3571	 0.102811
6431.4577	 0.096106
6431.5584	 0.100752
6431.6590	 0.101282
6431.7596	 0.096191
6431.8602	 0.088229
6431.9609	 0.090053
6432.0615	 0.070737
6432.1621	 0.076300
6432.2627	 0.067336
6432.3634	 0.049811
6432.4640	 0.037826
6432.5646	 0.044407
6432.6652	 0.043157
6432.7659	 0.040135
6432.8665	 0.037527
6432.9671	 0.045182
6433.0677	 0.037299
6433.1684	 0.046155
6433.2690	 0.038726
6433.3696	 0.042744
6433.4702	 0.056710
6434.0740	 0.018703
6434.1746	 0.023650
6434.2752	 0.016227
6434.3759	 0.018025
6434.4765	 0.026905
6434.5771	 0.015968
6434.6777	 0.013650
6434.7784	 0.004908
6434.8790	-0.001947
6434.9796	-0.003202
6436.6502	 0.013525
6436.7509	 0.016061
6436.8515	 0.016508
6436.9521	 0.014993
6437.0527	 0.002648
6437.1534	 0.007264
6437.2540	 0.023701
6437.3546	 0.015581
6437.4552	 0.031629
6437.5559	 0.036842
6437.6565	 0.050578
6437.7571	 0.052402
6437.8577	 0.069929
6437.9584	 0.075297
6438.0590	 0.088121
6438.1596	 0.093998
6438.2602	 0.100779
6438.3609	 0.111033
6438.4615	 0.105536
6438.5621	 0.099550
6438.6627	 0.116491
6438.7634	 0.116556
6438.8640	 0.111580
6438.9646	 0.111103
6439.0652	 0.106514
6439.1659	 0.110054
6439.2665	 0.112063
6439.3671	 0.104979
6439.4677	 0.102716
6439.5684	 0.098816
6439.6690	 0.092512
6439.7696	 0.084333
6439.8702	 0.084622
6439.9709	 0.073544
6440.0715	 0.069375
6440.1721	 0.089296
6440.2727	 0.074138
6440.3734	 0.063014
6440.4740	 0.048515
6440.5746	 0.035453
6440.6752	 0.027769
6440.7759	 0.021455
6440.8765	 0.016122
