##Wavelenght  49562.535
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.009738
6427.6340	 0.015231
6427.7346	 0.010882
6427.8352	-0.001609
6427.9359	 0.001053
6428.0365	 0.006552
6428.1371	 0.000603
6428.2377	 0.012400
6428.3384	-0.000599
6428.4390	-0.003482
6428.5396	 0.008538
6428.6402	 0.009063
6428.7409	-0.000815
6428.8415	 0.002689
6428.9421	 0.007460
6429.0427	 0.007503
6429.1434	 0.018296
6429.2440	 0.020299
6429.3446	 0.025562
6429.4452	 0.028618
6429.5459	 0.039770
6429.6465	 0.057480
6429.7471	 0.060105
6429.8477	 0.068885
6429.9484	 0.067128
6430.0490	 0.076894
6430.1496	 0.086677
6430.2502	 0.080351
6430.3509	 0.083139
6430.4515	 0.079365
6430.5521	 0.080787
6430.6527	 0.081748
6430.7534	 0.083995
6430.8540	 0.076554
6430.9546	 0.083599
6431.0552	 0.083046
6431.1559	 0.088398
6431.2565	 0.092743
6431.3571	 0.090376
6431.4577	 0.093572
6431.5584	 0.090818
6431.6590	 0.095312
6431.7596	 0.082367
6431.8602	 0.063276
6431.9609	 0.060050
6432.0615	 0.051865
6432.1621	 0.055358
6432.2627	 0.055224
6432.3634	 0.048190
6432.4640	 0.054445
6432.5646	 0.053632
6432.6652	 0.053012
6432.7659	 0.053110
6432.8665	 0.056885
6432.9671	 0.040139
6433.0677	 0.037652
6433.1684	 0.038585
6433.2690	 0.038325
6433.3696	 0.045775
6433.4702	 0.047489
6434.0740	 0.024929
6434.1746	 0.024548
6434.2752	 0.011741
6434.3759	 0.016023
6434.4765	 0.017885
6434.5771	 0.019352
6434.6777	 0.007053
6434.7784	 0.015723
6434.8790	 0.017906
6434.9796	 0.010605
6436.6502	 0.010054
6436.7509	 0.007756
6436.8515	 0.007444
6436.9521	 0.015584
6437.0527	 0.021291
6437.1534	 0.016134
6437.2540	 0.022267
6437.3546	 0.023557
6437.4552	 0.030766
6437.5559	 0.030504
6437.6565	 0.041277
6437.7571	 0.053536
6437.8577	 0.061586
6437.9584	 0.079205
6438.0590	 0.086575
6438.1596	 0.090359
6438.2602	 0.096673
6438.3609	 0.098193
6438.4615	 0.108587
6438.5621	 0.112182
6438.6627	 0.113623
6438.7634	 0.112429
6438.8640	 0.109230
6438.9646	 0.114202
6439.0652	 0.111673
6439.1659	 0.107871
6439.2665	 0.102450
6439.3671	 0.102396
6439.4677	 0.105450
6439.5684	 0.102346
6439.6690	 0.105788
6439.7696	 0.107859
6439.8702	 0.101082
6439.9709	 0.102209
6440.0715	 0.091704
6440.1721	 0.079283
6440.2727	 0.071780
6440.3734	 0.056173
6440.4740	 0.033314
6440.5746	 0.018631
6440.6752	 0.017594
6440.7759	 0.015978
6440.8765	 0.013912
