##Wavelenght  50618.648
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.013556
6409.8482	 0.007487
6409.8899	 0.008029
6409.9315	 0.017812
6409.9732	 0.016232
6410.0148	 0.008541
6410.0565	 0.013770
6410.0981	 0.026179
6410.1398	 0.026905
6410.1814	 0.027220
6410.2231	 0.035769
6410.2647	 0.036851
6410.3064	 0.037064
6410.3480	 0.045877
6410.3897	 0.055003
6410.4313	 0.054883
6410.4730	 0.064135
6410.5146	 0.069597
6410.5562	 0.068042
6410.5979	 0.066116
6410.6395	 0.074097
6410.6812	 0.066966
6410.7228	 0.081338
6410.7645	 0.073170
6410.8061	 0.074395
6410.8478	 0.077811
6410.8894	 0.076448
6410.9311	 0.080457
6410.9727	 0.077980
6411.0144	 0.083743
6411.0560	 0.080897
6411.0977	 0.084083
6411.1393	 0.084691
6411.1810	 0.085076
6411.2226	 0.088726
6411.2642	 0.088374
6411.3059	 0.090597
6411.3475	 0.089460
6411.3892	 0.083840
6411.4308	 0.081120
6411.4725	 0.085952
6411.5141	 0.088263
6411.5558	 0.082911
6411.5974	 0.083419
6411.6391	 0.085527
6411.6807	 0.086341
6411.7224	 0.084731
6411.7640	 0.082586
6411.8057	 0.078758
6411.8473	 0.078215
6411.8889	 0.081744
6411.9306	 0.079176
6411.9722	 0.080752
6412.0139	 0.077381
6412.0555	 0.072107
6412.0972	 0.077489
6412.1388	 0.077371
6412.1805	 0.080127
6412.2221	 0.076204
6412.2638	 0.071926
6412.3054	 0.074025
6412.3471	 0.066619
6412.3887	 0.066332
6412.4304	 0.068604
6412.4720	 0.068384
6412.5137	 0.072501
6412.5553	 0.067532
6412.5969	 0.071395
6412.6386	 0.061905
6412.6802	 0.063799
6412.7219	 0.056552
6412.7635	 0.054726
6412.8052	 0.046587
6412.8468	 0.058767
6412.8885	 0.047475
6412.9301	 0.045573
6412.9718	 0.035743
6413.0134	 0.026351
6413.0551	 0.033713
6413.0967	 0.030407
6413.1384	 0.019325
6413.1800	 0.020427
6413.2217	 0.023122
6413.2633	 0.019765
6413.3049	 0.017321
6413.3466	 0.023958
6413.3882	 0.014766
6427.0090	 0.006412
6427.0507	 0.007835
