##Wavelenght  51089.352
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.025385
6409.7473	 0.013705
6409.7869	 0.019722
6409.8266	 0.026538
6409.8662	 0.021522
6409.9058	 0.020451
6409.9455	 0.021411
6409.9851	 0.019743
6410.0247	 0.021139
6410.0643	 0.033624
6410.1040	 0.030134
6410.1436	 0.025448
6410.1832	 0.044679
6410.2229	 0.040135
6410.2625	 0.040513
6410.3021	 0.043526
6410.3417	 0.054331
6410.3814	 0.051078
6410.4210	 0.057287
6410.4606	 0.069862
6410.5002	 0.068770
6410.5399	 0.069135
6410.5795	 0.073366
6410.6191	 0.075341
6410.6587	 0.068860
6410.6984	 0.069385
6410.7380	 0.066006
6410.7776	 0.082406
6410.8173	 0.075486
6410.8569	 0.079787
6410.8965	 0.078794
6410.9361	 0.085931
6410.9758	 0.087752
6411.0154	 0.079320
6411.0550	 0.083508
6411.0947	 0.085827
6411.1343	 0.082854
6411.1739	 0.089480
6411.2135	 0.083313
6411.2532	 0.079734
6411.2928	 0.091541
6411.3324	 0.071807
6411.3720	 0.094038
6411.4117	 0.096107
6411.4513	 0.090399
6411.4909	 0.088521
6411.5306	 0.090254
6411.5702	 0.090313
6411.6098	 0.088709
6411.6494	 0.083225
6411.6891	 0.084829
6411.7287	 0.090927
6411.7683	 0.087864
6411.8079	 0.083616
6411.8476	 0.080963
6411.8872	 0.077415
6411.9268	 0.083209
6411.9665	 0.088360
6412.0061	 0.070517
6412.0457	 0.077056
6412.0853	 0.078896
6412.1250	 0.080807
6412.1646	 0.076411
6412.2042	 0.073189
6412.2438	 0.074532
6412.2835	 0.076078
6412.3231	 0.074778
6412.3627	 0.075943
6412.4024	 0.080801
6412.4420	 0.081463
6412.4816	 0.079549
6412.5212	 0.078257
6412.5609	 0.077674
6412.6005	 0.064016
6412.6401	 0.064114
6412.6797	 0.063379
6412.7194	 0.071147
6412.7590	 0.077466
6412.7986	 0.061327
6412.8383	 0.062735
6412.8779	 0.054578
6412.9175	 0.047806
6412.9571	 0.049027
6412.9968	 0.037785
6413.0364	 0.031197
6413.0760	 0.028059
6413.1156	 0.023954
6413.1553	 0.022461
6413.1949	 0.028771
