##Wavelenght  50388.312
lambda	Flux
0.1nm	---
---------	---------
6409.5866	 0.024729
6409.6283	 0.026354
6409.6700	 0.026105
6409.7117	 0.025284
6409.7535	 0.024750
6409.7952	 0.022578
6409.8369	 0.021108
6409.8786	 0.016758
6409.9204	 0.017239
6409.9621	 0.025973
6410.0038	 0.026298
6410.0455	 0.022697
6410.0873	 0.022023
6410.1290	 0.022380
6410.1707	 0.024485
6410.2124	 0.026022
6410.2542	 0.032920
6410.2959	 0.042556
6410.3376	 0.044924
6410.3793	 0.047068
6410.4211	 0.050131
6410.4628	 0.050941
6410.5045	 0.052980
6410.5462	 0.059885
6410.5880	 0.063707
6410.6297	 0.066289
6410.6714	 0.072209
6410.7131	 0.074245
6410.7549	 0.074506
6410.7966	 0.079534
6410.8383	 0.068029
6410.8800	 0.075381
6410.9218	 0.083486
6410.9635	 0.091423
6411.0052	 0.081663
6411.0469	 0.088277
6411.0887	 0.091061
6411.1304	 0.089071
6411.1721	 0.088966
6411.2138	 0.073803
6411.2556	 0.082998
6411.2973	 0.078004
6411.3390	 0.080560
6411.3807	 0.081654
6411.4225	 0.078046
6411.4642	 0.079689
6411.5059	 0.074511
6411.5476	 0.072685
6411.5894	 0.074047
6411.6311	 0.078046
6411.6728	 0.076242
6411.7145	 0.081287
6411.7563	 0.082068
6411.7980	 0.076293
6411.8397	 0.080070
6411.8814	 0.082063
6411.9232	 0.079086
6411.9649	 0.079893
6412.0066	 0.078583
6412.0483	 0.080794
6412.0901	 0.082454
6412.1318	 0.082432
6412.1735	 0.081688
6412.2152	 0.082487
6412.2570	 0.080862
6412.2987	 0.078562
6412.3404	 0.077866
6412.3821	 0.077898
6412.4239	 0.079920
6412.4656	 0.077675
6412.5073	 0.071871
6412.5490	 0.070518
6412.5908	 0.068647
6412.6325	 0.063984
6412.6742	 0.063378
6412.7159	 0.062662
6412.7577	 0.056269
6412.7994	 0.050470
6412.8411	 0.049623
6412.8828	 0.044795
6412.9246	 0.040931
6412.9663	 0.041377
6413.0080	 0.037205
6413.0497	 0.034594
6413.0915	 0.030658
6413.1332	 0.025336
6413.1749	 0.022018
6413.2166	 0.020862
6413.2584	 0.022771
