##Wavelenght  49913.598
lambda	Flux
0.1nm	---
---------	---------
6409.7224	 0.021536
6409.7640	 0.022174
6409.8056	 0.021048
6409.8471	 0.019592
6409.8887	 0.020562
6409.9303	 0.020061
6409.9719	 0.018040
6410.0135	 0.019037
6410.0551	 0.022138
6410.0967	 0.025411
6410.1383	 0.026855
6410.1798	 0.027489
6410.2214	 0.032192
6410.2630	 0.038007
6410.3046	 0.043612
6410.3462	 0.043647
6410.3878	 0.049980
6410.4294	 0.058420
6410.4710	 0.060838
6410.5125	 0.062146
6410.5541	 0.059835
6410.5957	 0.062718
6410.6373	 0.065079
6410.6789	 0.065253
6410.7205	 0.068421
6410.7621	 0.071196
6410.8037	 0.076852
6410.8452	 0.080386
6410.8868	 0.080807
6410.9284	 0.081059
6410.9700	 0.081252
6411.0116	 0.083897
6411.0532	 0.086215
6411.0948	 0.086345
6411.1363	 0.084849
6411.1779	 0.085056
6411.2195	 0.085242
6411.2611	 0.085103
6411.3027	 0.084481
6411.3443	 0.084887
6411.3859	 0.086267
6411.4275	 0.086723
6411.4690	 0.088241
6411.5106	 0.086808
6411.5522	 0.081953
6411.5938	 0.080523
6411.6354	 0.082995
6411.6770	 0.085084
6411.7186	 0.084405
6411.7602	 0.082634
6411.8017	 0.083555
6411.8433	 0.084518
6411.8849	 0.081998
6411.9265	 0.080765
6411.9681	 0.083628
6412.0097	 0.085755
6412.0513	 0.083629
6412.0929	 0.082137
6412.1344	 0.083525
6412.1760	 0.084192
6412.2176	 0.083869
6412.2592	 0.085061
6412.3008	 0.081820
6412.3424	 0.078265
6412.3840	 0.078713
6412.4255	 0.077737
6412.4671	 0.075079
6412.5087	 0.071584
6412.5503	 0.069374
6412.5919	 0.071115
6412.6335	 0.072597
6412.6751	 0.073777
6412.7167	 0.070288
6412.7582	 0.060356
6412.7998	 0.058260
6412.8414	 0.056885
6412.8830	 0.053718
6412.9246	 0.050602
6412.9662	 0.045385
6413.0078	 0.038591
6413.0494	 0.035024
6413.0909	 0.032719
6413.1325	 0.027140
6413.1741	 0.023366
6413.2157	 0.022551
6413.2573	 0.020888
6413.2989	 0.023144
6413.3405	 0.022733
6427.5633	 0.009688
