##Wavelenght  50999.559
lambda	Flux
0.1nm	---
---------	---------
6434.3433	 0.013555
6434.3848	 0.015062
6434.4263	 0.016580
6434.4683	 0.015028
6434.5098	 0.016198
6434.5513	 0.017764
6434.5928	 0.015548
6434.6343	 0.012348
6434.6763	 0.011911
6434.7178	 0.011706
6434.7593	 0.012471
6434.8008	 0.014151
6434.8428	 0.013550
6434.8843	 0.011666
6434.9258	 0.011965
6434.9673	 0.012231
6435.0093	 0.012413
6437.0068	 0.029365
6437.0483	 0.028242
6437.0898	 0.027955
6437.1313	 0.025962
6437.1733	 0.024617
6437.2148	 0.024998
6437.2563	 0.026493
6437.2979	 0.026280
6437.3394	 0.025528
6437.3813	 0.026136
6437.4229	 0.028002
6437.4644	 0.032239
6437.5059	 0.034848
6437.5479	 0.035248
6437.5894	 0.039045
6437.6309	 0.047615
6437.6724	 0.056909
6437.7144	 0.065376
6437.7559	 0.069169
6437.7974	 0.071318
6437.8389	 0.073353
6437.8804	 0.075849
6437.9224	 0.081641
6437.9639	 0.087144
6438.0054	 0.092723
6438.0469	 0.096608
6438.0889	 0.100637
6438.1304	 0.105463
6438.1719	 0.107136
6438.2134	 0.105531
6438.2554	 0.103270
6438.2969	 0.106904
6438.3384	 0.111896
6438.3799	 0.111505
6438.4214	 0.112554
6438.4634	 0.113011
6438.5049	 0.112091
6438.5464	 0.111199
6438.5879	 0.115774
6438.6299	 0.120487
6438.6714	 0.117269
6438.7129	 0.117751
6438.7544	 0.117353
6438.7964	 0.115830
6438.8379	 0.115555
6438.8794	 0.112560
6438.9209	 0.112126
6438.9624	 0.115798
6439.0044	 0.116358
6439.0459	 0.115795
6439.0874	 0.115862
6439.1289	 0.113359
6439.1709	 0.111367
6439.2124	 0.108696
6439.2539	 0.106746
6439.2954	 0.107011
6439.3374	 0.103215
6439.3789	 0.097660
6439.4204	 0.097705
6439.4619	 0.099167
6439.5034	 0.100033
6439.5454	 0.098631
6439.5869	 0.095834
6439.6284	 0.097377
6439.6699	 0.098646
6439.7119	 0.102097
6439.7534	 0.102511
6439.7949	 0.097525
6439.8364	 0.096963
6439.8779	 0.096496
6439.9199	 0.096047
6439.9614	 0.095499
6440.0029	 0.092086
6440.0444	 0.086889
6440.0864	 0.081995
6440.1279	 0.076288
6440.1694	 0.074113
6440.2109	 0.073183
6440.2529	 0.068727
6440.2944	 0.066759
6440.3359	 0.064688
6440.3774	 0.059335
6440.4194	 0.049901
6440.4609	 0.040346
6440.5024	 0.035480
6440.5439	 0.031557
6440.5854	 0.027917
6440.6274	 0.025528
6440.6689	 0.024167
6440.7104	 0.023503
6440.7520	 0.021516
6440.7939	 0.017788
6440.8354	 0.015634
6440.8770	 0.015008
6440.9185	 0.014762
6440.9600	 0.016190
7509.0448	 0.008948
7509.0931	 0.007048
7509.1415	 0.007748
7509.1899	 0.007771
7509.2383	 0.011806
7509.2867	 0.016012
7509.3351	 0.019821
7509.3835	 0.024452
7509.4319	 0.029466
7509.4802	 0.031280
7509.5286	 0.039725
7509.5770	 0.044898
7509.6254	 0.048244
7509.6738	 0.050581
7509.7222	 0.054576
7509.7706	 0.060977
7509.8189	 0.063209
7509.8673	 0.063294
7509.9157	 0.072236
7509.9641	 0.072424
7510.0125	 0.068644
7510.0609	 0.074910
7510.1093	 0.073554
7510.1577	 0.075480
7510.2060	 0.075563
7510.2544	 0.076970
7510.3028	 0.076134
7510.3512	 0.082325
7510.3996	 0.082089
7510.4480	 0.078013
7510.4964	 0.081213
7510.5448	 0.086916
7510.5931	 0.083190
7510.6415	 0.083066
7510.6899	 0.087984
7510.7383	 0.084450
7510.7867	 0.090405
7510.8351	 0.087888
7510.8835	 0.078193
7510.9319	 0.086776
7510.9802	 0.087361
7511.0286	 0.088579
7511.0770	 0.087482
7511.1254	 0.083768
7511.1738	 0.084340
7511.2222	 0.083549
7511.2706	 0.084671
7511.3190	 0.084860
7511.3673	 0.082165
7511.4157	 0.080033
7511.4641	 0.087506
7511.5125	 0.081185
7511.5609	 0.079019
7511.6093	 0.080791
7511.6577	 0.079446
7511.7061	 0.076949
7511.7544	 0.077919
