##Wavelenght  50381.316
lambda	Flux
0.1nm	---
---------	---------
6409.5866	 0.021014
6409.6283	 0.016110
6409.6700	 0.015679
6409.7117	 0.014696
6409.7535	 0.013519
6409.7952	 0.014889
6409.8369	 0.019053
6409.8786	 0.019250
6409.9204	 0.016796
6409.9621	 0.020944
6410.0038	 0.023951
6410.0455	 0.022761
6410.0873	 0.022989
6410.1290	 0.024249
6410.1707	 0.028652
6410.2124	 0.034225
6410.2542	 0.037128
6410.2959	 0.039095
6410.3376	 0.044768
6410.3793	 0.052305
6410.4211	 0.057313
6410.4628	 0.062866
6410.5045	 0.068424
6410.5462	 0.065982
6410.5880	 0.063551
6410.6297	 0.067515
6410.6714	 0.069894
6410.7131	 0.070390
6410.7549	 0.075599
6410.7966	 0.078098
6410.8383	 0.078133
6410.8800	 0.084692
6410.9218	 0.087282
6410.9635	 0.085970
6411.0052	 0.081729
6411.0469	 0.082148
6411.0887	 0.087773
6411.1304	 0.092296
6411.1721	 0.091854
6411.2138	 0.090685
6411.2556	 0.087262
6411.2973	 0.089747
6411.3390	 0.087097
6411.3807	 0.086393
6411.4225	 0.089147
6411.4642	 0.089346
6411.5059	 0.086939
6411.5476	 0.085583
6411.5894	 0.082331
6411.6311	 0.078397
6411.6728	 0.084257
6411.7145	 0.085829
6411.7563	 0.082366
6411.7980	 0.080657
6411.8397	 0.082154
6411.8814	 0.084016
6411.9232	 0.085317
6411.9649	 0.083204
6412.0066	 0.082861
6412.0483	 0.081119
6412.0901	 0.079517
6412.1318	 0.080293
6412.1735	 0.082276
6412.2152	 0.085569
6412.2570	 0.081855
6412.2987	 0.078623
6412.3404	 0.077495
6412.3821	 0.074038
6412.4239	 0.070743
6412.4656	 0.071907
6412.5073	 0.068652
6412.5490	 0.063590
6412.5908	 0.062352
6412.6325	 0.062816
6412.6742	 0.062596
6412.7159	 0.059966
6412.7577	 0.055766
6412.7994	 0.053354
6412.8411	 0.051639
6412.8828	 0.048563
6412.9246	 0.045382
6412.9663	 0.042045
6413.0080	 0.038654
6413.0497	 0.034711
6413.0915	 0.029171
6413.1332	 0.024048
6413.1749	 0.023730
6413.2166	 0.024116
6413.2584	 0.022095
