##Wavelenght  49562.352
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.006718
6427.6340	 0.010303
6427.7346	 0.010304
6427.8352	 0.004928
6427.9359	 0.006283
6428.0365	 0.000262
6428.1371	 0.002238
6428.2377	 0.007456
6428.3384	 0.011942
6428.4390	 0.010418
6428.5396	 0.009213
6428.6402	 0.014264
6428.7409	 0.012215
6428.8415	 0.007926
6428.9421	 0.013841
6429.0427	 0.011921
6429.1434	 0.012152
6429.2440	 0.016103
6429.3446	 0.021914
6429.4452	 0.027275
6429.5459	 0.039556
6429.6465	 0.042125
6429.7471	 0.052825
6429.8477	 0.062603
6429.9484	 0.061486
6430.0490	 0.070671
6430.1496	 0.078047
6430.2502	 0.072945
6430.3509	 0.072849
6430.4515	 0.079719
6430.5521	 0.079295
6430.6527	 0.078785
6430.7534	 0.079969
6430.8540	 0.072633
6430.9546	 0.075891
6431.0552	 0.083008
6431.1559	 0.082796
6431.2565	 0.084533
6431.3571	 0.078442
6431.4577	 0.086526
6431.5584	 0.089819
6431.6590	 0.089164
6431.7596	 0.088246
6431.8602	 0.088719
6431.9609	 0.084906
6432.0615	 0.080963
6432.1621	 0.067471
6432.2627	 0.052786
6432.3634	 0.050177
6432.4640	 0.049057
6432.5646	 0.048978
6432.6652	 0.046675
6432.7659	 0.048561
6432.8665	 0.046599
6432.9671	 0.043004
6433.0677	 0.044643
6433.1684	 0.049099
6433.2690	 0.040281
6433.3696	 0.046047
6433.4702	 0.039303
6434.0740	 0.025519
6434.1746	 0.017659
6434.2752	 0.017329
6434.3759	 0.017413
6434.4765	 0.017684
6434.5771	 0.015868
6434.6777	 0.012836
6434.7784	 0.014533
6434.8790	 0.008186
6434.9796	 0.010589
6436.6502	 0.006532
6436.7509	 0.007624
6436.8515	 0.011237
6436.9521	 0.017123
6437.0527	 0.017058
6437.1534	 0.017393
6437.2540	 0.018490
6437.3546	 0.023897
6437.4552	 0.028784
6437.5559	 0.035333
6437.6565	 0.049054
6437.7571	 0.051669
6437.8577	 0.062036
6437.9584	 0.073238
6438.0590	 0.086508
6438.1596	 0.092772
6438.2602	 0.094689
6438.3609	 0.106216
6438.4615	 0.113640
6438.5621	 0.115016
6438.6627	 0.113529
6438.7634	 0.109901
6438.8640	 0.110257
6438.9646	 0.108825
6439.0652	 0.104426
6439.1659	 0.101599
6439.2665	 0.102741
6439.3671	 0.106001
6439.4677	 0.100567
6439.5684	 0.105106
6439.6690	 0.099288
6439.7696	 0.093941
6439.8702	 0.098101
6439.9709	 0.094683
6440.0715	 0.086589
6440.1721	 0.084284
6440.2727	 0.068766
6440.3734	 0.051892
6440.4740	 0.040863
6440.5746	 0.024504
6440.6752	 0.016902
6440.7759	 0.019262
6440.8765	 0.021830
