##Wavelenght  51090.355
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.025990
6409.7473	 0.025192
6409.7869	 0.019513
6409.8266	 0.015162
6409.8662	 0.017128
6409.9058	 0.014291
6409.9455	 0.022891
6409.9851	 0.023602
6410.0247	 0.023275
6410.0643	 0.024529
6410.1040	 0.026913
6410.1436	 0.025237
6410.1832	 0.032443
6410.2229	 0.035880
6410.2625	 0.043185
6410.3021	 0.049142
6410.3417	 0.051777
6410.3814	 0.052316
6410.4210	 0.057715
6410.4606	 0.067344
6410.5002	 0.070513
6410.5399	 0.072837
6410.5795	 0.069821
6410.6191	 0.071466
6410.6587	 0.080172
6410.6984	 0.075385
6410.7380	 0.076188
6410.7776	 0.082192
6410.8173	 0.082953
6410.8569	 0.079888
6410.8965	 0.079646
6410.9361	 0.080042
6410.9758	 0.079945
6411.0154	 0.079621
6411.0550	 0.080073
6411.0947	 0.084169
6411.1343	 0.089300
6411.1739	 0.087265
6411.2135	 0.079105
6411.2532	 0.084842
6411.2928	 0.085015
6411.3324	 0.082697
6411.3720	 0.089963
6411.4117	 0.087635
6411.4513	 0.088697
6411.4909	 0.085801
6411.5306	 0.081282
6411.5702	 0.088145
6411.6098	 0.082240
6411.6494	 0.074093
6411.6891	 0.083680
6411.7287	 0.083076
6411.7683	 0.074962
6411.8079	 0.072621
6411.8476	 0.078599
6411.8872	 0.080706
6411.9268	 0.081196
6411.9665	 0.078919
6412.0061	 0.076506
6412.0457	 0.080429
6412.0853	 0.082769
6412.1250	 0.085225
6412.1646	 0.081992
6412.2042	 0.079860
6412.2438	 0.077391
6412.2835	 0.074807
6412.3231	 0.080846
6412.3627	 0.081288
6412.4024	 0.074370
6412.4420	 0.072357
6412.4816	 0.074267
6412.5212	 0.075484
6412.5609	 0.081799
6412.6005	 0.070914
6412.6401	 0.068604
6412.6797	 0.062978
6412.7194	 0.064403
6412.7590	 0.066302
6412.7986	 0.070262
6412.8383	 0.057892
6412.8779	 0.048154
6412.9175	 0.050164
6412.9571	 0.039461
6412.9968	 0.036497
6413.0364	 0.031501
6413.0760	 0.026374
6413.1156	 0.021603
6413.1553	 0.021876
6413.1949	 0.023973
