##Wavelenght  49678.324
lambda	Flux
0.1nm	---
---------	---------
6427.5931	 0.005560
6427.6130	 0.006504
6427.6329	 0.006269
6427.6528	 0.008087
6427.6727	 0.004848
6427.6926	 0.004242
6427.7125	 0.008657
6427.7324	 0.007672
6427.7523	 0.002859
6427.7722	 0.004459
6427.7921	 0.004574
6427.8120	 0.005664
6427.8319	 0.008478
6427.8518	 0.006511
6427.8717	 0.008807
6427.8917	 0.007013
6427.9116	 0.004435
6427.9315	 0.006652
6427.9514	 0.009686
6427.9713	 0.007971
6427.9912	 0.006435
6428.0111	 0.006306
6428.0310	 0.009453
6428.0509	 0.009679
6428.0708	 0.010013
6428.0907	 0.012603
6428.1106	 0.010835
6428.1305	 0.010523
6428.1504	 0.012914
6428.1703	 0.009469
6428.1902	 0.010258
6428.2101	 0.010598
6428.2300	 0.007909
6428.2499	 0.010368
6428.2698	 0.015285
6428.2897	 0.016949
6428.3096	 0.011517
6428.3295	 0.008609
6428.3494	 0.011724
6428.3693	 0.012728
6428.3892	 0.009318
6428.4091	 0.009885
6428.4290	 0.010454
6428.4489	 0.009926
6428.4688	 0.010274
6428.4887	 0.011425
6428.5086	 0.011508
6428.5285	 0.009861
6428.5485	 0.008436
6428.5684	 0.011932
6428.5883	 0.011359
6428.6082	 0.010666
6428.6281	 0.006747
6428.6480	 0.005362
6428.6679	 0.004961
6428.6878	 0.007492
6428.7077	 0.007141
6428.7276	 0.005952
6428.7475	 0.003480
6428.7674	 0.005420
6428.7873	 0.004869
6428.8072	 0.009181
6428.8271	 0.011700
6428.8470	 0.008133
6428.8669	 0.015720
6428.8868	 0.014296
6428.9067	 0.011576
6428.9266	 0.010250
6428.9465	 0.008578
6428.9664	 0.009645
6428.9863	 0.012398
6429.0062	 0.010885
6429.0261	 0.012105
6429.0460	 0.014420
6429.0659	 0.016421
6429.0858	 0.013116
6429.1057	 0.008704
6429.1256	 0.009233
6429.1455	 0.011131
6429.1654	 0.018696
6429.1853	 0.019493
6429.2052	 0.022311
6429.2252	 0.024406
6429.2451	 0.020026
6429.2650	 0.015146
6429.2849	 0.017901
6429.3048	 0.022552
6429.3247	 0.028900
6429.3446	 0.027617
