##Wavelenght  51006.508
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.018510
6409.6588	 0.015988
6409.6988	 0.012445
6409.7388	 0.011783
6409.7788	 0.012753
6409.8187	 0.015210
6409.8587	 0.016141
6409.8987	 0.016528
6409.9387	 0.018569
6409.9787	 0.020601
6410.0187	 0.022038
6410.0587	 0.022934
6410.0987	 0.023201
6410.1387	 0.028180
6410.1786	 0.032102
6410.2186	 0.034545
6410.2586	 0.039687
6410.2986	 0.042685
6410.3386	 0.048988
6410.3786	 0.051127
6410.4186	 0.056028
6410.4586	 0.060111
6410.4986	 0.061776
6410.5385	 0.062579
6410.5785	 0.064770
6410.6185	 0.068968
6410.6585	 0.073030
6410.6985	 0.077109
6410.7385	 0.079182
6410.7785	 0.079827
6410.8185	 0.083312
6410.8585	 0.087047
6410.8985	 0.087788
6410.9384	 0.087641
6410.9784	 0.087182
6411.0184	 0.084934
6411.0584	 0.093584
6411.0984	 0.095364
6411.1384	 0.090839
6411.1784	 0.094116
6411.2184	 0.088922
6411.2584	 0.097532
6411.2983	 0.090959
6411.3383	 0.090201
6411.3783	 0.091355
6411.4183	 0.092127
6411.4583	 0.089257
6411.4983	 0.086899
6411.5383	 0.087240
6411.5783	 0.089553
6411.6183	 0.084492
6411.6582	 0.081176
6411.6982	 0.084201
6411.7382	 0.083036
6411.7782	 0.078930
6411.8182	 0.078627
6411.8582	 0.080130
6411.8982	 0.081595
6411.9382	 0.079349
6411.9782	 0.083162
6412.0181	 0.086089
6412.0581	 0.085662
6412.0981	 0.086602
6412.1381	 0.078165
6412.1781	 0.076201
6412.2181	 0.073141
6412.2581	 0.081626
6412.2981	 0.081630
6412.3381	 0.074776
6412.3781	 0.073728
6412.4180	 0.073396
6412.4580	 0.074251
6412.4980	 0.074420
6412.5380	 0.070211
6412.5780	 0.065487
6412.6180	 0.063580
6412.6580	 0.059729
6412.6980	 0.057389
6412.7380	 0.057607
6412.7779	 0.054786
6412.8179	 0.052381
6412.8579	 0.052512
6412.8979	 0.048738
6412.9379	 0.044203
6412.9779	 0.041632
6413.0179	 0.039635
6413.0579	 0.035163
6413.0979	 0.026070
6413.1378	 0.026876
