##Wavelenght  50626.633
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.021274
6409.8482	 0.026092
6409.8899	 0.021569
6409.9315	 0.019909
6409.9732	 0.021986
6410.0148	 0.022468
6410.0565	 0.023123
6410.0981	 0.023611
6410.1398	 0.024682
6410.1814	 0.025530
6410.2231	 0.029464
6410.2647	 0.037879
6410.3064	 0.049369
6410.3480	 0.053031
6410.3897	 0.054426
6410.4313	 0.053101
6410.4730	 0.058491
6410.5146	 0.059267
6410.5562	 0.059788
6410.5979	 0.069386
6410.6395	 0.074621
6410.6812	 0.069670
6410.7228	 0.067114
6410.7645	 0.070865
6410.8061	 0.070929
6410.8478	 0.070759
6410.8894	 0.072384
6410.9311	 0.078060
6410.9727	 0.084658
6411.0144	 0.085202
6411.0560	 0.083376
6411.0977	 0.082880
6411.1393	 0.084379
6411.1810	 0.084394
6411.2226	 0.086324
6411.2642	 0.087099
6411.3059	 0.089470
6411.3475	 0.091073
6411.3892	 0.086963
6411.4308	 0.082694
6411.4725	 0.084153
6411.5141	 0.084537
6411.5558	 0.083474
6411.5974	 0.084743
6411.6391	 0.086195
6411.6807	 0.086540
6411.7224	 0.088229
6411.7640	 0.087207
6411.8057	 0.084784
6411.8473	 0.084285
6411.8889	 0.083154
6411.9306	 0.082858
6411.9722	 0.085930
6412.0139	 0.089776
6412.0555	 0.086985
6412.0972	 0.087468
6412.1388	 0.088128
6412.1805	 0.087279
6412.2221	 0.087189
6412.2638	 0.086469
6412.3054	 0.087750
6412.3471	 0.086274
6412.3887	 0.088899
6412.4304	 0.085369
6412.4720	 0.085494
6412.5137	 0.077824
6412.5553	 0.074419
6412.5969	 0.071542
6412.6386	 0.072416
6412.6802	 0.063407
6412.7219	 0.064907
6412.7635	 0.058847
6412.8052	 0.057621
6412.8468	 0.058405
6412.8885	 0.054970
6412.9301	 0.049676
6412.9718	 0.039944
6413.0134	 0.037141
6413.0551	 0.029526
6413.0967	 0.025333
6413.1384	 0.024424
6413.1800	 0.024306
6413.2217	 0.025875
6413.2633	 0.021265
6413.3049	 0.020877
6413.3466	 0.024091
6413.3882	 0.023699
6427.0090	 0.016180
6427.0507	 0.011014
