##Wavelenght  50997.539
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.015227
6409.6588	 0.014107
6409.6988	 0.013271
6409.7388	 0.015643
6409.7788	 0.015961
6409.8187	 0.017921
6409.8587	 0.017327
6409.8987	 0.013931
6409.9387	 0.018012
6409.9787	 0.019277
6410.0187	 0.018433
6410.0587	 0.027682
6410.0987	 0.027347
6410.1387	 0.028714
6410.1786	 0.034156
6410.2186	 0.030225
6410.2586	 0.035359
6410.2986	 0.040458
6410.3386	 0.046178
6410.3786	 0.053919
6410.4186	 0.059210
6410.4586	 0.058325
6410.4986	 0.057980
6410.5385	 0.058453
6410.5785	 0.065072
6410.6185	 0.071294
6410.6585	 0.075015
6410.6985	 0.078962
6410.7385	 0.078353
6410.7785	 0.079438
6410.8185	 0.084695
6410.8585	 0.084932
6410.8985	 0.083728
6410.9384	 0.087881
6410.9784	 0.089449
6411.0184	 0.087663
6411.0584	 0.088362
6411.0984	 0.090465
6411.1384	 0.093345
6411.1784	 0.091551
6411.2184	 0.089523
6411.2584	 0.092333
6411.2983	 0.092071
6411.3383	 0.088576
6411.3783	 0.083388
6411.4183	 0.086207
6411.4583	 0.087788
6411.4983	 0.087698
6411.5383	 0.088229
6411.5783	 0.085591
6411.6183	 0.084248
6411.6582	 0.087681
6411.6982	 0.087916
6411.7382	 0.084701
6411.7782	 0.083704
6411.8182	 0.084558
6411.8582	 0.087068
6411.8982	 0.084659
6411.9382	 0.082763
6411.9782	 0.093009
6412.0181	 0.090951
6412.0581	 0.082742
6412.0981	 0.084942
6412.1381	 0.083757
6412.1781	 0.090891
6412.2181	 0.092627
6412.2581	 0.089171
6412.2981	 0.085734
6412.3381	 0.088839
6412.3781	 0.086724
6412.4180	 0.087665
6412.4580	 0.084834
6412.4980	 0.077578
6412.5380	 0.074147
6412.5780	 0.073327
6412.6180	 0.067370
6412.6580	 0.064779
6412.6980	 0.062190
6412.7380	 0.059920
6412.7779	 0.058526
6412.8179	 0.057163
6412.8579	 0.052709
6412.8979	 0.048111
6412.9379	 0.047750
6412.9779	 0.044881
6413.0179	 0.037245
6413.0579	 0.030802
6413.0979	 0.032286
6413.1378	 0.029335
