##Wavelenght  49677.328
lambda	Flux
0.1nm	---
---------	---------
6427.5931	 0.006229
6427.6130	 0.005332
6427.6329	 0.006680
6427.6528	 0.003599
6427.6727	 0.006184
6427.6926	 0.005542
6427.7125	 0.007170
6427.7324	 0.011573
6427.7523	 0.010751
6427.7722	 0.009521
6427.7921	 0.017209
6427.8120	 0.013459
6427.8319	 0.010616
6427.8518	 0.011578
6427.8717	 0.013606
6427.8917	 0.009881
6427.9116	 0.012060
6427.9315	 0.009820
6427.9514	 0.008653
6427.9713	 0.015843
6427.9912	 0.022999
6428.0111	 0.020453
6428.0310	 0.017318
6428.0509	 0.019456
6428.0708	 0.019103
6428.0907	 0.015666
6428.1106	 0.012962
6428.1305	 0.014512
6428.1504	 0.016377
6428.1703	 0.014705
6428.1902	 0.012530
6428.2101	 0.008388
6428.2300	 0.006353
6428.2499	 0.008661
6428.2698	 0.010826
6428.2897	 0.005964
6428.3096	 0.003709
6428.3295	 0.003938
6428.3494	 0.002988
6428.3693	 0.004803
6428.3892	 0.005771
6428.4091	 0.005083
6428.4290	 0.002149
6428.4489	 0.006504
6428.4688	 0.012621
6428.4887	 0.010276
6428.5086	 0.005418
6428.5285	 0.004216
6428.5485	 0.008060
6428.5684	 0.004026
6428.5883	 0.000464
6428.6082	 0.000122
6428.6281	 0.002908
6428.6480	 0.001584
6428.6679	 0.000779
6428.6878	 0.007645
6428.7077	 0.010906
6428.7276	 0.011404
6428.7475	 0.009088
6428.7674	 0.007684
6428.7873	 0.012540
6428.8072	 0.013666
6428.8271	 0.016596
6428.8470	 0.013414
6428.8669	 0.016810
6428.8868	 0.020151
6428.9067	 0.023288
6428.9266	 0.020014
6428.9465	 0.017690
6428.9664	 0.022156
6428.9863	 0.019111
6429.0062	 0.019444
6429.0261	 0.018234
6429.0460	 0.016301
6429.0659	 0.019019
6429.0858	 0.023065
6429.1057	 0.022211
6429.1256	 0.017740
6429.1455	 0.019677
6429.1654	 0.015704
6429.1853	 0.017044
6429.2052	 0.023740
6429.2252	 0.019970
6429.2451	 0.017748
6429.2650	 0.016424
6429.2849	 0.024490
6429.3048	 0.024099
6429.3247	 0.028872
6429.3446	 0.028374
