##Wavelenght  51009.492
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.017552
6409.6588	 0.011919
6409.6988	 0.016661
6409.7388	 0.025210
6409.7788	 0.024056
6409.8187	 0.023038
6409.8587	 0.020184
6409.8987	 0.014442
6409.9387	 0.015768
6409.9787	 0.020944
6410.0187	 0.028247
6410.0587	 0.032010
6410.0987	 0.032723
6410.1387	 0.034226
6410.1786	 0.036706
6410.2186	 0.037853
6410.2586	 0.034877
6410.2986	 0.030873
6410.3386	 0.034618
6410.3786	 0.048522
6410.4186	 0.054411
6410.4586	 0.054316
6410.4986	 0.066118
6410.5385	 0.069269
6410.5785	 0.062141
6410.6185	 0.071842
6410.6585	 0.084709
6410.6985	 0.084605
6410.7385	 0.081882
6410.7785	 0.082279
6410.8185	 0.084143
6410.8585	 0.092275
6410.8985	 0.092662
6410.9384	 0.086681
6410.9784	 0.093311
6411.0184	 0.091351
6411.0584	 0.084349
6411.0984	 0.088066
6411.1384	 0.087029
6411.1784	 0.081423
6411.2184	 0.083704
6411.2584	 0.082215
6411.2983	 0.083237
6411.3383	 0.091463
6411.3783	 0.088643
6411.4183	 0.089608
6411.4583	 0.086244
6411.4983	 0.091009
6411.5383	 0.092949
6411.5783	 0.089672
6411.6183	 0.087328
6411.6582	 0.089659
6411.6982	 0.082792
6411.7382	 0.083634
6411.7782	 0.084127
6411.8182	 0.082336
6411.8582	 0.088126
6411.8982	 0.082088
6411.9382	 0.078154
6411.9782	 0.074314
6412.0181	 0.077353
6412.0581	 0.081528
6412.0981	 0.078305
6412.1381	 0.076059
6412.1781	 0.076774
6412.2181	 0.074958
6412.2581	 0.071556
6412.2981	 0.066924
6412.3381	 0.068071
6412.3781	 0.067525
6412.4180	 0.071935
6412.4580	 0.075364
6412.4980	 0.075875
6412.5380	 0.064710
6412.5780	 0.057688
6412.6180	 0.063306
6412.6580	 0.068483
6412.6980	 0.066598
6412.7380	 0.060023
6412.7779	 0.060805
6412.8179	 0.059821
6412.8579	 0.055044
6412.8979	 0.052720
6412.9379	 0.046691
6412.9779	 0.042793
6413.0179	 0.038584
6413.0579	 0.034766
6413.0979	 0.033464
6413.1378	 0.033495
