##Wavelenght  49552.457
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.004221
6427.6340	 0.009439
6427.7346	 0.005357
6427.8352	-0.005947
6427.9359	 0.006676
6428.0365	 0.002048
6428.1371	 0.008460
6428.2377	 0.001411
6428.3384	 0.011915
6428.4390	 0.004681
6428.5396	 0.014877
6428.6402	 0.006537
6428.7409	-0.000294
6428.8415	 0.016830
6428.9421	 0.010341
6429.0427	 0.003368
6429.1434	 0.015885
6429.2440	 0.002612
6429.3446	 0.018158
6429.4452	 0.026573
6429.5459	 0.028802
6429.6465	 0.041840
6429.7471	 0.049501
6429.8477	 0.062192
6429.9484	 0.067982
6430.0490	 0.074447
6430.1496	 0.074212
6430.2502	 0.087886
6430.3509	 0.082037
6430.4515	 0.088506
6430.5521	 0.083175
6430.6527	 0.086334
6430.7534	 0.078788
6430.8540	 0.079351
6430.9546	 0.083466
6431.0552	 0.081880
6431.1559	 0.083658
6431.2565	 0.085754
6431.3571	 0.088679
6431.4577	 0.088758
6431.5584	 0.087010
6431.6590	 0.097227
6431.7596	 0.096149
6431.8602	 0.094826
6431.9609	 0.089813
6432.0615	 0.091287
6432.1621	 0.076022
6432.2627	 0.068056
6432.3634	 0.065926
6432.4640	 0.044927
6432.5646	 0.042563
6432.6652	 0.046523
6432.7659	 0.046651
6432.8665	 0.038305
6432.9671	 0.044275
6433.0677	 0.040127
6433.1684	 0.042573
6433.2690	 0.036719
6433.3696	 0.039071
6433.4702	 0.043628
6434.0740	 0.030754
6434.1746	 0.019217
6434.2752	 0.014393
6434.3759	 0.015733
6434.4765	 0.016712
6434.5771	 0.009123
6434.6777	 0.007473
6434.7784	 0.007504
6434.8790	 0.004669
6434.9796	-0.001168
6436.6502	 0.011849
6436.7509	 0.015681
6436.8515	 0.021158
6436.9521	 0.021294
6437.0527	 0.017381
6437.1534	 0.019081
6437.2540	 0.017721
6437.3546	 0.018194
6437.4552	 0.025607
6437.5559	 0.032641
6437.6565	 0.044184
6437.7571	 0.051487
6437.8577	 0.061514
6437.9584	 0.070052
6438.0590	 0.075041
6438.1596	 0.088225
6438.2602	 0.099502
6438.3609	 0.107627
6438.4615	 0.108859
6438.5621	 0.112725
6438.6627	 0.112819
6438.7634	 0.109886
6438.8640	 0.106936
6438.9646	 0.107481
6439.0652	 0.103368
6439.1659	 0.098633
6439.2665	 0.102361
6439.3671	 0.101938
6439.4677	 0.103812
6439.5684	 0.108765
6439.6690	 0.101749
6439.7696	 0.094523
6439.8702	 0.095742
6439.9709	 0.092575
6440.0715	 0.087581
6440.1721	 0.081231
6440.2727	 0.070581
6440.3734	 0.060721
6440.4740	 0.050259
6440.5746	 0.036157
6440.6752	 0.024801
6440.7759	 0.015845
6440.8765	 0.006765
