##Wavelenght  50621.605
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.016061
6409.8482	 0.016210
6409.8899	 0.015646
6409.9315	 0.013586
6409.9732	 0.012859
6410.0148	 0.014689
6410.0565	 0.020039
6410.0981	 0.024741
6410.1398	 0.022984
6410.1814	 0.024453
6410.2231	 0.029504
6410.2647	 0.035258
6410.3064	 0.040274
6410.3480	 0.042819
6410.3897	 0.049803
6410.4313	 0.055247
6410.4730	 0.056950
6410.5146	 0.062471
6410.5562	 0.068428
6410.5979	 0.071015
6410.6395	 0.072444
6410.6812	 0.076331
6410.7228	 0.075930
6410.7645	 0.073159
6410.8061	 0.077768
6410.8478	 0.081269
6410.8894	 0.079853
6410.9311	 0.078776
6410.9727	 0.080781
6411.0144	 0.080692
6411.0560	 0.082837
6411.0977	 0.088211
6411.1393	 0.090555
6411.1810	 0.087538
6411.2226	 0.085427
6411.2642	 0.086057
6411.3059	 0.085844
6411.3475	 0.084752
6411.3892	 0.084402
6411.4308	 0.084106
6411.4725	 0.083573
6411.5141	 0.084208
6411.5558	 0.085989
6411.5974	 0.085916
6411.6391	 0.082779
6411.6807	 0.080722
6411.7224	 0.081849
6411.7640	 0.083573
6411.8057	 0.083511
6411.8473	 0.082547
6411.8889	 0.081995
6411.9306	 0.080276
6411.9722	 0.079131
6412.0139	 0.081061
6412.0555	 0.080092
6412.0972	 0.077280
6412.1388	 0.077933
6412.1805	 0.079422
6412.2221	 0.076327
6412.2638	 0.076569
6412.3054	 0.076883
6412.3471	 0.071736
6412.3887	 0.068166
6412.4304	 0.073508
6412.4720	 0.074035
6412.5137	 0.069166
6412.5553	 0.064743
6412.5969	 0.063274
6412.6386	 0.063798
6412.6802	 0.062302
6412.7219	 0.056204
6412.7635	 0.052981
6412.8052	 0.049354
6412.8468	 0.045580
6412.8885	 0.042544
6412.9301	 0.038967
6412.9718	 0.036254
6413.0134	 0.033754
6413.0551	 0.030428
6413.0967	 0.028362
6413.1384	 0.027643
6413.1800	 0.023123
6413.2217	 0.018137
6413.2633	 0.016272
6413.3049	 0.015657
6413.3466	 0.016377
6413.3882	 0.017586
6427.0090	 0.009449
6427.0507	 0.007260
