##Wavelenght  49921.531
lambda	Flux
0.1nm	---
---------	---------
6409.7224	 0.022476
6409.7640	 0.022607
6409.8056	 0.019714
6409.8471	 0.015759
6409.8887	 0.015966
6409.9303	 0.020100
6409.9719	 0.023672
6410.0135	 0.020233
6410.0551	 0.016220
6410.0967	 0.018071
6410.1383	 0.024621
6410.1798	 0.029877
6410.2214	 0.033970
6410.2630	 0.035663
6410.3046	 0.039865
6410.3462	 0.048118
6410.3878	 0.052276
6410.4294	 0.054488
6410.4710	 0.057769
6410.5125	 0.062554
6410.5541	 0.064089
6410.5957	 0.070131
6410.6373	 0.074260
6410.6789	 0.075346
6410.7205	 0.072652
6410.7621	 0.072789
6410.8037	 0.073172
6410.8452	 0.076013
6410.8868	 0.081622
6410.9284	 0.082019
6410.9700	 0.083271
6411.0116	 0.084764
6411.0532	 0.081371
6411.0948	 0.082752
6411.1363	 0.083081
6411.1779	 0.082711
6411.2195	 0.087017
6411.2611	 0.086951
6411.3027	 0.083932
6411.3443	 0.085250
6411.3859	 0.086702
6411.4275	 0.085692
6411.4690	 0.084151
6411.5106	 0.082744
6411.5522	 0.083507
6411.5938	 0.084278
6411.6354	 0.084006
6411.6770	 0.083789
6411.7186	 0.082224
6411.7602	 0.080814
6411.8017	 0.079594
6411.8433	 0.078390
6411.8849	 0.077532
6411.9265	 0.076157
6411.9681	 0.076845
6412.0097	 0.077616
6412.0513	 0.077864
6412.0929	 0.079464
6412.1344	 0.080537
6412.1760	 0.077130
6412.2176	 0.074549
6412.2592	 0.075265
6412.3008	 0.075190
6412.3424	 0.072357
6412.3840	 0.072639
6412.4255	 0.070377
6412.4671	 0.068887
6412.5087	 0.073207
6412.5503	 0.069299
6412.5919	 0.063240
6412.6335	 0.066680
6412.6751	 0.067608
6412.7167	 0.063482
6412.7582	 0.058660
6412.7998	 0.053461
6412.8414	 0.051578
6412.8830	 0.049505
6412.9246	 0.040732
6412.9662	 0.039992
6413.0078	 0.040428
6413.0494	 0.033022
6413.0909	 0.027886
6413.1325	 0.023394
6413.1741	 0.019172
6413.2157	 0.014769
6413.2573	 0.018542
6413.2989	 0.020484
6413.3405	 0.022129
6427.5633	 0.015095
