##Wavelenght  51091.344
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.022948
6409.7473	 0.018035
6409.7869	 0.023507
6409.8266	 0.025020
6409.8662	 0.023064
6409.9058	 0.017947
6409.9455	 0.013235
6409.9851	 0.017982
6410.0247	 0.025102
6410.0643	 0.028053
6410.1040	 0.032565
6410.1436	 0.034993
6410.1832	 0.032087
6410.2229	 0.032056
6410.2625	 0.035824
6410.3021	 0.043648
6410.3417	 0.054292
6410.3814	 0.056743
6410.4210	 0.068390
6410.4606	 0.064846
6410.5002	 0.062117
6410.5399	 0.061244
6410.5795	 0.064177
6410.6191	 0.073750
6410.6587	 0.073151
6410.6984	 0.072291
6410.7380	 0.074500
6410.7776	 0.078227
6410.8173	 0.073757
6410.8569	 0.074939
6410.8965	 0.077775
6410.9361	 0.075660
6410.9758	 0.080687
6411.0154	 0.080230
6411.0550	 0.077833
6411.0947	 0.085134
6411.1343	 0.082718
6411.1739	 0.078645
6411.2135	 0.083426
6411.2532	 0.086827
6411.2928	 0.085319
6411.3324	 0.077390
6411.3720	 0.077169
6411.4117	 0.078275
6411.4513	 0.088939
6411.4909	 0.096169
6411.5306	 0.090844
6411.5702	 0.086297
6411.6098	 0.092640
6411.6494	 0.093829
6411.6891	 0.089665
6411.7287	 0.086731
6411.7683	 0.088952
6411.8079	 0.088014
6411.8476	 0.088763
6411.8872	 0.094618
6411.9268	 0.092669
6411.9665	 0.090297
6412.0061	 0.086307
6412.0457	 0.086958
6412.0853	 0.083055
6412.1250	 0.082836
6412.1646	 0.095181
6412.2042	 0.088096
6412.2438	 0.083362
6412.2835	 0.081897
6412.3231	 0.082425
6412.3627	 0.084322
6412.4024	 0.084268
6412.4420	 0.081360
6412.4816	 0.082254
6412.5212	 0.082780
6412.5609	 0.071854
6412.6005	 0.067349
6412.6401	 0.070777
6412.6797	 0.069959
6412.7194	 0.072382
6412.7590	 0.065941
6412.7986	 0.060627
6412.8383	 0.059994
6412.8779	 0.054380
6412.9175	 0.044191
6412.9571	 0.041196
6412.9968	 0.042463
6413.0364	 0.038508
6413.0760	 0.026035
6413.1156	 0.024486
6413.1553	 0.037408
6413.1949	 0.034168
