##Wavelenght  49675.324
lambda	Flux
0.1nm	---
---------	---------
6427.5931	 0.002648
6427.6130	 0.002087
6427.6329	 0.006240
6427.6528	 0.008197
6427.6727	 0.009811
6427.6926	 0.011721
6427.7125	 0.013859
6427.7324	 0.011919
6427.7523	 0.010292
6427.7722	 0.013623
6427.7921	 0.014892
6427.8120	 0.018136
6427.8319	 0.021439
6427.8518	 0.016895
6427.8717	 0.011045
6427.8917	 0.009465
6427.9116	 0.011228
6427.9315	 0.012154
6427.9514	 0.012794
6427.9713	 0.014663
6427.9912	 0.014907
6428.0111	 0.015248
6428.0310	 0.011594
6428.0509	 0.007682
6428.0708	 0.011771
6428.0907	 0.015754
6428.1106	 0.016457
6428.1305	 0.015545
6428.1504	 0.012400
6428.1703	 0.011136
6428.1902	 0.011052
6428.2101	 0.012672
6428.2300	 0.012905
6428.2499	 0.007826
6428.2698	 0.007890
6428.2897	 0.009118
6428.3096	 0.008819
6428.3295	 0.007796
6428.3494	 0.010767
6428.3693	 0.010835
6428.3892	 0.006478
6428.4091	 0.004477
6428.4290	 0.004011
6428.4489	 0.005318
6428.4688	 0.005275
6428.4887	 0.003682
6428.5086	 0.002925
6428.5285	 0.002845
6428.5485	 0.005478
6428.5684	 0.010039
6428.5883	 0.008886
6428.6082	 0.006095
6428.6281	 0.007983
6428.6480	 0.006592
6428.6679	 0.008289
6428.6878	 0.010593
6428.7077	 0.007957
6428.7276	 0.006766
6428.7475	 0.006179
6428.7674	 0.004939
6428.7873	 0.004889
6428.8072	 0.012423
6428.8271	 0.015371
6428.8470	 0.014199
6428.8669	 0.012465
6428.8868	 0.015833
6428.9067	 0.018122
6428.9266	 0.018502
6428.9465	 0.016874
6428.9664	 0.017405
6428.9863	 0.018005
6429.0062	 0.017511
6429.0261	 0.013515
6429.0460	 0.014545
6429.0659	 0.017158
6429.0858	 0.020286
6429.1057	 0.023320
6429.1256	 0.018645
6429.1455	 0.013059
6429.1654	 0.022901
6429.1853	 0.017141
6429.2052	 0.015601
6429.2252	 0.014519
6429.2451	 0.020290
6429.2650	 0.026038
6429.2849	 0.022221
6429.3048	 0.022734
6429.3247	 0.021283
6429.3446	 0.025769
