##Wavelenght  50622.617
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.013678
6409.8482	 0.012842
6409.8899	 0.011609
6409.9315	 0.013013
6409.9732	 0.019881
6410.0148	 0.020598
6410.0565	 0.020565
6410.0981	 0.023098
6410.1398	 0.021842
6410.1814	 0.023822
6410.2231	 0.028575
6410.2647	 0.033693
6410.3064	 0.036072
6410.3480	 0.039373
6410.3897	 0.042792
6410.4313	 0.047687
6410.4730	 0.053405
6410.5146	 0.053142
6410.5562	 0.059691
6410.5979	 0.066453
6410.6395	 0.069501
6410.6812	 0.074199
6410.7228	 0.079773
6410.7645	 0.078307
6410.8061	 0.075931
6410.8478	 0.078439
6410.8894	 0.078866
6410.9311	 0.078810
6410.9727	 0.078190
6411.0144	 0.077450
6411.0560	 0.076315
6411.0977	 0.076312
6411.1393	 0.081980
6411.1810	 0.088165
6411.2226	 0.091380
6411.2642	 0.088787
6411.3059	 0.086821
6411.3475	 0.085537
6411.3892	 0.089093
6411.4308	 0.090889
6411.4725	 0.087651
6411.5141	 0.085531
6411.5558	 0.085589
6411.5974	 0.089334
6411.6391	 0.092929
6411.6807	 0.090976
6411.7224	 0.088187
6411.7640	 0.088638
6411.8057	 0.089222
6411.8473	 0.089349
6411.8889	 0.089612
6411.9306	 0.087786
6411.9722	 0.086570
6412.0139	 0.088824
6412.0555	 0.088720
6412.0972	 0.085146
6412.1388	 0.083920
6412.1805	 0.083343
6412.2221	 0.082655
6412.2638	 0.082042
6412.3054	 0.081353
6412.3471	 0.082792
6412.3887	 0.080239
6412.4304	 0.075863
6412.4720	 0.070489
6412.5137	 0.065498
6412.5553	 0.068432
6412.5969	 0.070677
6412.6386	 0.068452
6412.6802	 0.063024
6412.7219	 0.058167
6412.7635	 0.055348
6412.8052	 0.056526
6412.8468	 0.056168
6412.8885	 0.046969
6412.9301	 0.040207
6412.9718	 0.035286
6413.0134	 0.031989
6413.0551	 0.025261
6413.0967	 0.020626
6413.1384	 0.019180
6413.1800	 0.018202
6413.2217	 0.018022
6413.2633	 0.014617
6413.3049	 0.010391
6413.3466	 0.010147
6413.3882	 0.012981
6427.0090	 0.010580
6427.0507	 0.011220
