##Wavelenght  49563.352
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.010601
6427.6340	 0.009351
6427.7346	 0.008893
6427.8352	 0.010187
6427.9359	 0.008662
6428.0365	 0.006456
6428.1371	 0.006961
6428.2377	 0.007284
6428.3384	 0.008422
6428.4390	 0.007383
6428.5396	 0.005840
6428.6402	 0.006564
6428.7409	 0.007079
6428.8415	 0.008841
6428.9421	 0.012456
6429.0427	 0.015912
6429.1434	 0.017604
6429.2440	 0.017570
6429.3446	 0.020411
6429.4452	 0.032170
6429.5459	 0.044119
6429.6465	 0.047312
6429.7471	 0.047417
6429.8477	 0.054332
6429.9484	 0.066098
6430.0490	 0.072978
6430.1496	 0.072541
6430.2502	 0.072390
6430.3509	 0.074716
6430.4515	 0.074978
6430.5521	 0.075628
6430.6527	 0.076915
6430.7534	 0.077178
6430.8540	 0.075752
6430.9546	 0.074532
6431.0552	 0.080239
6431.1559	 0.087941
6431.2565	 0.089368
6431.3571	 0.093018
6431.4577	 0.096406
6431.5584	 0.093625
6431.6590	 0.086391
6431.7596	 0.078227
6431.8602	 0.076601
6431.9609	 0.074814
6432.0615	 0.065637
6432.1621	 0.059116
6432.2627	 0.059567
6432.3634	 0.059293
6432.4640	 0.052261
6432.5646	 0.052367
6432.6652	 0.056389
6432.7659	 0.051035
6432.8665	 0.046264
6432.9671	 0.046426
6433.0677	 0.051735
6433.1684	 0.048046
6433.2690	 0.039715
6433.3696	 0.039818
6433.4702	 0.043005
6434.0740	 0.024709
6434.1746	 0.021191
6434.2752	 0.017633
6434.3759	 0.015370
6434.4765	 0.015850
6434.5771	 0.014630
6434.6777	 0.012073
6434.7784	 0.011168
6434.8790	 0.013418
6434.9796	 0.012846
6436.6502	 0.012282
6436.7509	 0.015495
6436.8515	 0.012369
6436.9521	 0.013401
6437.0527	 0.023628
6437.1534	 0.024508
6437.2540	 0.016697
6437.3546	 0.016742
6437.4552	 0.027762
6437.5559	 0.034188
6437.6565	 0.042217
6437.7571	 0.057113
6437.8577	 0.071095
6437.9584	 0.079342
6438.0590	 0.086547
6438.1596	 0.090829
6438.2602	 0.090626
6438.3609	 0.091600
6438.4615	 0.093012
6438.5621	 0.103704
6438.6627	 0.108993
6438.7634	 0.111159
6438.8640	 0.111594
6438.9646	 0.112641
6439.0652	 0.105348
6439.1659	 0.106955
6439.2665	 0.108055
6439.3671	 0.106304
6439.4677	 0.110732
6439.5684	 0.108426
6439.6690	 0.109640
6439.7696	 0.108275
6439.8702	 0.096527
6439.9709	 0.086371
6440.0715	 0.078131
6440.1721	 0.075481
6440.2727	 0.062366
6440.3734	 0.056156
6440.4740	 0.041320
6440.5746	 0.025941
6440.6752	 0.019244
6440.7759	 0.023141
6440.8765	 0.025276
