##Wavelenght  50382.316
lambda	Flux
0.1nm	---
---------	---------
6409.5866	 0.020245
6409.6283	 0.022274
6409.6700	 0.021852
6409.7117	 0.019215
6409.7535	 0.020130
6409.7952	 0.021809
6409.8369	 0.019709
6409.8786	 0.020766
6409.9204	 0.022043
6409.9621	 0.018187
6410.0038	 0.020318
6410.0455	 0.025204
6410.0873	 0.021580
6410.1290	 0.022237
6410.1707	 0.027179
6410.2124	 0.031241
6410.2542	 0.038160
6410.2959	 0.041939
6410.3376	 0.044369
6410.3793	 0.049126
6410.4211	 0.053482
6410.4628	 0.057706
6410.5045	 0.060275
6410.5462	 0.060549
6410.5880	 0.064726
6410.6297	 0.066469
6410.6714	 0.071598
6410.7131	 0.075880
6410.7549	 0.076248
6410.7966	 0.077131
6410.8383	 0.074024
6410.8800	 0.073331
6410.9218	 0.070728
6410.9635	 0.075651
6411.0052	 0.076743
6411.0469	 0.079973
6411.0887	 0.083008
6411.1304	 0.087417
6411.1721	 0.084823
6411.2138	 0.086235
6411.2556	 0.088666
6411.2973	 0.088569
6411.3390	 0.088385
6411.3807	 0.085499
6411.4225	 0.081783
6411.4642	 0.084862
6411.5059	 0.078376
6411.5476	 0.079932
6411.5894	 0.076797
6411.6311	 0.075609
6411.6728	 0.080169
6411.7145	 0.079290
6411.7563	 0.077691
6411.7980	 0.078547
6411.8397	 0.081603
6411.8814	 0.080306
6411.9232	 0.080851
6411.9649	 0.078189
6412.0066	 0.077112
6412.0483	 0.078607
6412.0901	 0.079433
6412.1318	 0.081476
6412.1735	 0.079856
6412.2152	 0.078964
6412.2570	 0.077700
6412.2987	 0.076941
6412.3404	 0.078281
6412.3821	 0.079789
6412.4239	 0.078987
6412.4656	 0.078165
6412.5073	 0.077748
6412.5490	 0.072503
6412.5908	 0.067396
6412.6325	 0.066103
6412.6742	 0.063719
6412.7159	 0.060471
6412.7577	 0.060814
6412.7994	 0.060680
6412.8411	 0.055190
6412.8828	 0.049450
6412.9246	 0.041409
6412.9663	 0.036696
6413.0080	 0.035813
6413.0497	 0.031398
6413.0915	 0.030295
6413.1332	 0.025760
6413.1749	 0.022425
6413.2166	 0.021370
6413.2584	 0.021712
