##Wavelenght  49579.609
lambda	Flux
0.1nm	---
---------	---------
6409.5896	 0.019365
6409.6312	 0.018333
6409.6727	 0.016202
6409.7143	 0.018342
6409.7559	 0.020089
6409.7974	 0.019345
6409.8390	 0.015468
6409.8806	 0.015806
6409.9222	 0.022403
6409.9637	 0.023094
6410.0053	 0.020253
6410.0469	 0.022691
6410.0884	 0.022644
6410.1300	 0.021563
6410.1716	 0.022461
6410.2131	 0.029515
6410.2547	 0.032999
6410.2963	 0.036462
6410.3378	 0.044696
6410.3794	 0.047752
6410.4210	 0.049691
6410.4626	 0.053153
6410.5041	 0.054030
6410.5457	 0.056576
6410.5873	 0.062264
6410.6288	 0.068193
6410.6704	 0.073569
6410.7120	 0.078132
6410.7535	 0.078042
6410.7951	 0.078543
6410.8367	 0.080265
6410.8782	 0.082289
6410.9198	 0.084128
6410.9614	 0.084352
6411.0029	 0.085874
6411.0445	 0.085647
6411.0861	 0.083658
6411.1277	 0.084171
6411.1692	 0.084683
6411.2108	 0.085710
6411.2524	 0.087012
6411.2939	 0.088714
6411.3355	 0.093145
6411.3771	 0.093573
6411.4186	 0.089359
6411.4602	 0.084611
6411.5018	 0.084773
6411.5433	 0.086874
6411.5849	 0.086119
6411.6265	 0.085914
6411.6681	 0.088492
6411.7096	 0.086360
6411.7512	 0.084936
6411.7928	 0.081308
6411.8343	 0.079609
6411.8759	 0.080847
6411.9175	 0.079069
6411.9590	 0.075195
6412.0006	 0.073955
6412.0422	 0.074516
6412.0837	 0.070749
6412.1253	 0.076467
6412.1669	 0.076058
6412.2085	 0.072660
6412.2500	 0.075681
6412.2916	 0.073935
6412.3332	 0.069777
6412.3747	 0.069675
6412.4163	 0.069752
6412.4579	 0.069712
6412.4994	 0.065271
6412.5410	 0.067484
6412.5826	 0.068894
6412.6241	 0.066360
6412.6657	 0.065820
6412.7073	 0.059288
6412.7488	 0.051519
6412.7904	 0.049074
6412.8320	 0.050534
6412.8736	 0.051708
6412.9151	 0.047558
6412.9567	 0.040525
6412.9983	 0.035962
6413.0398	 0.034978
6413.0814	 0.029011
6413.1230	 0.022421
6413.1645	 0.019079
6413.2061	 0.020400
6413.2477	 0.023047
