##Wavelenght  49588.426
lambda	Flux
0.1nm	---
---------	---------
6409.5896	 0.018359
6409.6312	 0.015593
6409.6727	 0.017453
6409.7143	 0.019867
6409.7559	 0.019217
6409.7974	 0.017881
6409.8390	 0.018276
6409.8806	 0.018663
6409.9222	 0.017646
6409.9637	 0.016373
6410.0053	 0.014388
6410.0469	 0.018608
6410.0884	 0.025347
6410.1300	 0.028254
6410.1716	 0.030569
6410.2131	 0.033629
6410.2547	 0.038183
6410.2963	 0.044600
6410.3378	 0.049321
6410.3794	 0.049737
6410.4210	 0.052526
6410.4626	 0.056326
6410.5041	 0.060423
6410.5457	 0.066618
6410.5873	 0.070970
6410.6288	 0.071981
6410.6704	 0.073583
6410.7120	 0.078074
6410.7535	 0.079252
6410.7951	 0.076282
6410.8367	 0.075457
6410.8782	 0.078666
6410.9198	 0.084514
6410.9614	 0.083508
6411.0029	 0.080772
6411.0445	 0.080595
6411.0861	 0.081833
6411.1277	 0.085529
6411.1692	 0.085599
6411.2108	 0.084247
6411.2524	 0.088696
6411.2939	 0.089923
6411.3355	 0.087176
6411.3771	 0.085931
6411.4186	 0.085935
6411.4602	 0.089163
6411.5018	 0.087929
6411.5433	 0.080830
6411.5849	 0.078258
6411.6265	 0.083409
6411.6681	 0.086143
6411.7096	 0.083108
6411.7512	 0.081311
6411.7928	 0.081189
6411.8343	 0.080932
6411.8759	 0.079800
6411.9175	 0.078247
6411.9590	 0.076681
6412.0006	 0.076272
6412.0422	 0.077036
6412.0837	 0.076029
6412.1253	 0.073554
6412.1669	 0.072694
6412.2085	 0.074735
6412.2500	 0.074259
6412.2916	 0.070835
6412.3332	 0.068044
6412.3747	 0.066753
6412.4163	 0.066757
6412.4579	 0.069192
6412.4994	 0.071662
6412.5410	 0.070968
6412.5826	 0.069760
6412.6241	 0.069167
6412.6657	 0.066975
6412.7073	 0.063735
6412.7488	 0.062759
6412.7904	 0.061009
6412.8320	 0.057131
6412.8736	 0.051562
6412.9151	 0.050209
6412.9567	 0.046010
6412.9983	 0.035527
6413.0398	 0.030666
6413.0814	 0.027876
6413.1230	 0.024200
6413.1645	 0.020277
6413.2061	 0.020626
6413.2477	 0.018744
