##Wavelenght  49918.590
lambda	Flux
0.1nm	---
---------	---------
6409.7224	 0.019832
6409.7640	 0.018848
6409.8056	 0.019954
6409.8471	 0.020818
6409.8887	 0.021482
6409.9303	 0.024730
6409.9719	 0.021216
6410.0135	 0.020956
6410.0551	 0.016979
6410.0967	 0.020461
6410.1383	 0.025329
6410.1798	 0.023554
6410.2214	 0.026384
6410.2630	 0.033350
6410.3046	 0.039626
6410.3462	 0.046578
6410.3878	 0.049915
6410.4294	 0.050030
6410.4710	 0.053859
6410.5125	 0.060833
6410.5541	 0.060084
6410.5957	 0.065684
6410.6373	 0.065743
6410.6789	 0.068468
6410.7205	 0.075198
6410.7621	 0.070317
6410.8037	 0.072961
6410.8452	 0.077129
6410.8868	 0.079295
6410.9284	 0.079857
6410.9700	 0.077743
6411.0116	 0.082147
6411.0532	 0.084635
6411.0948	 0.090109
6411.1363	 0.088346
6411.1779	 0.084899
6411.2195	 0.078285
6411.2611	 0.086925
6411.3027	 0.085495
6411.3443	 0.090949
6411.3859	 0.088998
6411.4275	 0.087348
6411.4690	 0.085083
6411.5106	 0.083180
6411.5522	 0.085487
6411.5938	 0.083370
6411.6354	 0.081322
6411.6770	 0.084225
6411.7186	 0.078409
6411.7602	 0.076621
6411.8017	 0.076769
6411.8433	 0.076720
6411.8849	 0.078928
6411.9265	 0.080026
6411.9681	 0.079740
6412.0097	 0.077902
6412.0513	 0.079066
6412.0929	 0.079851
6412.1344	 0.078984
6412.1760	 0.077714
6412.2176	 0.071931
6412.2592	 0.070188
6412.3008	 0.071338
6412.3424	 0.072045
6412.3840	 0.074611
6412.4255	 0.070264
6412.4671	 0.070151
6412.5087	 0.070865
6412.5503	 0.063690
6412.5919	 0.062749
6412.6335	 0.063488
6412.6751	 0.059325
6412.7167	 0.056238
6412.7582	 0.056325
6412.7998	 0.057794
6412.8414	 0.050897
6412.8830	 0.048663
6412.9246	 0.043058
6412.9662	 0.042510
6413.0078	 0.035458
6413.0494	 0.029825
6413.0909	 0.028377
6413.1325	 0.025111
6413.1741	 0.022477
6413.2157	 0.024048
6413.2573	 0.023377
6413.2989	 0.017323
6413.3405	 0.014336
6427.5633	 0.006085
