##Wavelenght  49553.309
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.008695
6427.6340	 0.012124
6427.7346	 0.017028
6427.8352	 0.015942
6427.9359	 0.012090
6428.0365	 0.011220
6428.1371	 0.011036
6428.2377	 0.010213
6428.3384	 0.005851
6428.4390	 0.002982
6428.5396	 0.003508
6428.6402	-0.000045
6428.7409	-0.003450
6428.8415	 0.001238
6428.9421	 0.006398
6429.0427	 0.003791
6429.1434	 0.003015
6429.2440	 0.009018
6429.3446	 0.018150
6429.4452	 0.027743
6429.5459	 0.038041
6429.6465	 0.043873
6429.7471	 0.051180
6429.8477	 0.066083
6429.9484	 0.075410
6430.0490	 0.075979
6430.1496	 0.079436
6430.2502	 0.078396
6430.3509	 0.083781
6430.4515	 0.083616
6430.5521	 0.080871
6430.6527	 0.082106
6430.7534	 0.081817
6430.8540	 0.082943
6430.9546	 0.081658
6431.0552	 0.083666
6431.1559	 0.091714
6431.2565	 0.093056
6431.3571	 0.089365
6431.4577	 0.085771
6431.5584	 0.090051
6431.6590	 0.086386
6431.7596	 0.091314
6431.8602	 0.089362
6431.9609	 0.078293
6432.0615	 0.070479
6432.1621	 0.064178
6432.2627	 0.054975
6432.3634	 0.047039
6432.4640	 0.048328
6432.5646	 0.048852
6432.6652	 0.042123
6432.7659	 0.040952
6432.8665	 0.042676
6432.9671	 0.044787
6433.0677	 0.045129
6433.1684	 0.044904
6433.2690	 0.043200
6433.3696	 0.046114
6433.4702	 0.047335
6434.0740	 0.026215
6434.1746	 0.016341
6434.2752	 0.019064
6434.3759	 0.019889
6434.4765	 0.016209
6434.5771	 0.014886
6434.6777	 0.014478
6434.7784	 0.016576
6434.8790	 0.010545
6434.9796	 0.007974
6436.6502	 0.008415
6436.7509	 0.009770
6436.8515	 0.013909
6436.9521	 0.013919
6437.0527	 0.014769
6437.1534	 0.017840
6437.2540	 0.015578
6437.3546	 0.023594
6437.4552	 0.033344
6437.5559	 0.038511
6437.6565	 0.049231
6437.7571	 0.060042
6437.8577	 0.069674
6437.9584	 0.076996
6438.0590	 0.088712
6438.1596	 0.090002
6438.2602	 0.095690
6438.3609	 0.106021
6438.4615	 0.107920
6438.5621	 0.104018
6438.6627	 0.110472
6438.7634	 0.105026
6438.8640	 0.104926
6438.9646	 0.109599
6439.0652	 0.106648
6439.1659	 0.105755
6439.2665	 0.103114
6439.3671	 0.096946
6439.4677	 0.102636
6439.5684	 0.107388
6439.6690	 0.100136
6439.7696	 0.099215
6439.8702	 0.089054
6439.9709	 0.088545
6440.0715	 0.093469
6440.1721	 0.089296
6440.2727	 0.074358
6440.3734	 0.058671
6440.4740	 0.042049
6440.5746	 0.028885
6440.6752	 0.017730
6440.7759	 0.014374
6440.8765	 0.021683
