##Wavelenght  50627.719
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.018463
6409.8482	 0.016838
6409.8899	 0.018058
6409.9315	 0.020414
6409.9732	 0.020252
6410.0148	 0.018296
6410.0565	 0.017397
6410.0981	 0.019720
6410.1398	 0.021564
6410.1814	 0.024287
6410.2231	 0.030113
6410.2647	 0.034539
6410.3064	 0.040370
6410.3480	 0.049241
6410.3897	 0.052401
6410.4313	 0.056078
6410.4730	 0.066526
6410.5146	 0.066437
6410.5562	 0.069559
6410.5979	 0.074519
6410.6395	 0.071280
6410.6812	 0.067327
6410.7228	 0.074312
6410.7645	 0.076523
6410.8061	 0.079609
6410.8478	 0.080313
6410.8894	 0.082502
6410.9311	 0.085543
6410.9727	 0.090831
6411.0144	 0.097007
6411.0560	 0.091678
6411.0977	 0.090619
6411.1393	 0.090098
6411.1810	 0.090484
6411.2226	 0.094194
6411.2642	 0.090770
6411.3059	 0.088699
6411.3475	 0.090422
6411.3892	 0.087954
6411.4308	 0.085958
6411.4725	 0.086694
6411.5141	 0.084964
6411.5558	 0.083595
6411.5974	 0.083113
6411.6391	 0.081244
6411.6807	 0.079567
6411.7224	 0.081264
6411.7640	 0.081640
6411.8057	 0.078858
6411.8473	 0.077451
6411.8889	 0.076133
6411.9306	 0.072972
6411.9722	 0.071432
6412.0139	 0.076582
6412.0555	 0.082627
6412.0972	 0.079965
6412.1388	 0.076242
6412.1805	 0.078633
6412.2221	 0.079323
6412.2638	 0.076159
6412.3054	 0.074884
6412.3471	 0.072413
6412.3887	 0.072698
6412.4304	 0.073959
6412.4720	 0.071789
6412.5137	 0.074223
6412.5553	 0.075906
6412.5969	 0.071350
6412.6386	 0.068427
6412.6802	 0.064259
6412.7219	 0.060473
6412.7635	 0.058449
6412.8052	 0.057047
6412.8468	 0.050455
6412.8885	 0.046060
6412.9301	 0.038761
6412.9718	 0.035371
6413.0134	 0.032896
6413.0551	 0.027472
6413.0967	 0.022056
6413.1384	 0.021150
6413.1800	 0.021778
6413.2217	 0.020320
6413.2633	 0.015846
6413.3049	 0.022243
6413.3466	 0.027178
6413.3882	 0.026350
6427.0090	 0.005705
6427.0507	 0.005671
