##Wavelenght  49671.410
lambda	Flux
0.1nm	---
---------	---------
6427.5931	 0.013508
6427.6130	 0.007476
6427.6329	 0.008583
6427.6528	 0.007483
6427.6727	 0.012113
6427.6926	 0.003847
6427.7125	 0.011133
6427.7324	 0.002557
6427.7523	 0.006582
6427.7722	 0.012811
6427.7921	 0.016644
6427.8120	 0.013693
6427.8319	 0.008244
6427.8518	 0.010608
6427.8717	 0.008340
6427.8917	 0.014978
6427.9116	 0.015909
6427.9315	 0.010629
6427.9514	 0.010680
6427.9713	 0.010719
6427.9912	 0.015510
6428.0111	 0.013466
6428.0310	 0.010859
6428.0509	 0.009564
6428.0708	 0.010965
6428.0907	 0.013043
6428.1106	 0.010368
6428.1305	 0.013468
6428.1504	 0.013819
6428.1703	 0.015492
6428.1902	 0.017983
6428.2101	 0.012295
6428.2300	 0.008453
6428.2499	 0.010197
6428.2698	 0.011321
6428.2897	 0.009258
6428.3096	 0.014728
6428.3295	 0.015946
6428.3494	 0.010571
6428.3693	 0.009317
6428.3892	 0.011990
6428.4091	 0.006367
6428.4290	 0.004256
6428.4489	 0.003146
6428.4688	 0.009950
6428.4887	 0.011392
6428.5086	 0.014058
6428.5285	 0.011357
6428.5485	 0.008296
6428.5684	 0.009563
6428.5883	 0.014785
6428.6082	 0.010678
6428.6281	 0.010358
6428.6480	 0.010391
6428.6679	 0.017997
6428.6878	 0.021002
6428.7077	 0.005743
6428.7276	 0.010000
6428.7475	 0.008210
6428.7674	 0.011011
6428.7873	 0.006256
6428.8072	 0.019466
6428.8271	 0.003229
6428.8470	 0.013878
6428.8669	 0.018125
6428.8868	 0.015016
6428.9067	 0.018685
6428.9266	 0.018414
6428.9465	 0.008877
6428.9664	 0.011776
6428.9863	 0.015013
6429.0062	 0.013454
6429.0261	 0.024818
6429.0460	 0.012129
6429.0659	 0.013385
6429.0858	 0.019766
6429.1057	 0.025623
6429.1256	 0.020153
6429.1455	 0.016124
6429.1654	 0.007458
6429.1853	 0.021572
6429.2052	 0.023928
6429.2252	 0.021416
6429.2451	 0.022183
6429.2650	 0.024231
6429.2849	 0.026339
6429.3048	 0.027312
6429.3247	 0.030721
6429.3446	 0.025459
