##Wavelenght  51089.609
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.025158
6409.7473	 0.023551
6409.7869	 0.011549
6409.8266	 0.017559
6409.8662	 0.030302
6409.9058	 0.024749
6409.9455	 0.023746
6409.9851	 0.032936
6410.0247	 0.022188
6410.0643	 0.026364
6410.1040	 0.029207
6410.1436	 0.033360
6410.1832	 0.027972
6410.2229	 0.036122
6410.2625	 0.040795
6410.3021	 0.043495
6410.3417	 0.045644
6410.3814	 0.051657
6410.4210	 0.051513
6410.4606	 0.054480
6410.5002	 0.068067
6410.5399	 0.073650
6410.5795	 0.074718
6410.6191	 0.079163
6410.6587	 0.074684
6410.6984	 0.073640
6410.7380	 0.083938
6410.7776	 0.065678
6410.8173	 0.065795
6410.8569	 0.078214
6410.8965	 0.080853
6410.9361	 0.073361
6410.9758	 0.078301
6411.0154	 0.085079
6411.0550	 0.085372
6411.0947	 0.083815
6411.1343	 0.084244
6411.1739	 0.086121
6411.2135	 0.081153
6411.2532	 0.080501
6411.2928	 0.086742
6411.3324	 0.086293
6411.3720	 0.086108
6411.4117	 0.084923
6411.4513	 0.087899
6411.4909	 0.091290
6411.5306	 0.089486
6411.5702	 0.088958
6411.6098	 0.083207
6411.6494	 0.087827
6411.6891	 0.091662
6411.7287	 0.084222
6411.7683	 0.086481
6411.8079	 0.085920
6411.8476	 0.082679
6411.8872	 0.086860
6411.9268	 0.066952
6411.9665	 0.089250
6412.0061	 0.080023
6412.0457	 0.095380
6412.0853	 0.077051
6412.1250	 0.073624
6412.1646	 0.073058
6412.2042	 0.068977
6412.2438	 0.068552
6412.2835	 0.077307
6412.3231	 0.081106
6412.3627	 0.077473
6412.4024	 0.083567
6412.4420	 0.085097
6412.4816	 0.080044
6412.5212	 0.084260
6412.5609	 0.074404
6412.6005	 0.071824
6412.6401	 0.077068
6412.6797	 0.067577
6412.7194	 0.056240
6412.7590	 0.060576
6412.7986	 0.056571
6412.8383	 0.053013
6412.8779	 0.055066
6412.9175	 0.049601
6412.9571	 0.041554
6412.9968	 0.038826
6413.0364	 0.039570
6413.0760	 0.035777
6413.1156	 0.025347
6413.1553	 0.026943
6413.1949	 0.028721
