##Wavelenght  51125.367
lambda	Flux
0.1nm	---
---------	---------
6409.7127	 0.025134
6409.7404	 0.025520
6409.7680	 0.025874
6409.7957	 0.025179
6409.8234	 0.020323
6409.8511	 0.015986
6409.8787	 0.016154
6409.9064	 0.019261
6409.9341	 0.021122
6409.9618	 0.021110
6409.9894	 0.025247
6410.0171	 0.029980
6410.0448	 0.029676
6410.0725	 0.025572
6410.1001	 0.022971
6410.1278	 0.025684
6410.1555	 0.029151
6410.1832	 0.029604
6410.2108	 0.028548
6410.2385	 0.037422
6410.2662	 0.046598
6410.2939	 0.038751
6410.3215	 0.036822
6410.3492	 0.046816
6410.3769	 0.053225
6410.4046	 0.058676
6410.4323	 0.063233
6410.4599	 0.060703
6410.4876	 0.059136
6410.5153	 0.063232
6410.5430	 0.067252
6410.5706	 0.069650
6410.5983	 0.069197
6410.6260	 0.064014
6410.6537	 0.067238
6410.6813	 0.081698
6410.7090	 0.081103
6410.7367	 0.074565
6410.7644	 0.077784
6410.7920	 0.074900
6410.8197	 0.070392
6410.8474	 0.076267
6410.8751	 0.081967
6410.9027	 0.082534
6410.9304	 0.081592
6410.9581	 0.086519
6410.9858	 0.093177
6411.0135	 0.091154
6411.0411	 0.087855
6411.0688	 0.085965
6411.0965	 0.080948
6411.1242	 0.078982
6411.1518	 0.082846
6411.1795	 0.087242
6411.2072	 0.087351
6411.2349	 0.082466
6411.2625	 0.077467
6411.2902	 0.078375
6411.3179	 0.086131
6411.3456	 0.092841
6411.3732	 0.092475
6411.4009	 0.084537
6411.4286	 0.076728
6411.4563	 0.075512
6411.4839	 0.081601
6411.5116	 0.085651
6411.5393	 0.083484
6411.5670	 0.077420
6411.5946	 0.074949
6411.6223	 0.077327
6411.6500	 0.080260
6411.6777	 0.079966
6411.7054	 0.076863
6411.7330	 0.075158
6411.7607	 0.078972
6411.7884	 0.086164
6411.8161	 0.089515
6411.8437	 0.089317
6411.8714	 0.087410
6411.8991	 0.084484
6411.9268	 0.080274
6411.9544	 0.076861
6411.9821	 0.079059
6412.0098	 0.083902
6412.0375	 0.086860
6412.0651	 0.086676
6412.0928	 0.083699
6412.1205	 0.082109
6412.1482	 0.090217
