##Wavelenght  49587.441
lambda	Flux
0.1nm	---
---------	---------
6409.5896	 0.019069
6409.6312	 0.021410
6409.6727	 0.019594
6409.7143	 0.021138
6409.7559	 0.021149
6409.7974	 0.017639
6409.8390	 0.016395
6409.8806	 0.018501
6409.9222	 0.017630
6409.9637	 0.018852
6410.0053	 0.021960
6410.0469	 0.023224
6410.0884	 0.025747
6410.1300	 0.030841
6410.1716	 0.027974
6410.2131	 0.027829
6410.2547	 0.034135
6410.2963	 0.039847
6410.3378	 0.044360
6410.3794	 0.048779
6410.4210	 0.051504
6410.4626	 0.054132
6410.5041	 0.060328
6410.5457	 0.063555
6410.5873	 0.064667
6410.6288	 0.065693
6410.6704	 0.068139
6410.7120	 0.071611
6410.7535	 0.071818
6410.7951	 0.073329
6410.8367	 0.075710
6410.8782	 0.077691
6410.9198	 0.079765
6410.9614	 0.079713
6411.0029	 0.077986
6411.0445	 0.077431
6411.0861	 0.078656
6411.1277	 0.077382
6411.1692	 0.074124
6411.2108	 0.073823
6411.2524	 0.074173
6411.2939	 0.073276
6411.3355	 0.075923
6411.3771	 0.081359
6411.4186	 0.082235
6411.4602	 0.079543
6411.5018	 0.079193
6411.5433	 0.079232
6411.5849	 0.080509
6411.6265	 0.085038
6411.6681	 0.086756
6411.7096	 0.084634
6411.7512	 0.082818
6411.7928	 0.083743
6411.8343	 0.081837
6411.8759	 0.078194
6411.9175	 0.079287
6411.9590	 0.080871
6412.0006	 0.082829
6412.0422	 0.083713
6412.0837	 0.084515
6412.1253	 0.079565
6412.1669	 0.076659
6412.2085	 0.081098
6412.2500	 0.082615
6412.2916	 0.084290
6412.3332	 0.080892
6412.3747	 0.077719
6412.4163	 0.076439
6412.4579	 0.073776
6412.4994	 0.075051
6412.5410	 0.075974
6412.5826	 0.072865
6412.6241	 0.067976
6412.6657	 0.066779
6412.7073	 0.064589
6412.7488	 0.059471
6412.7904	 0.057869
6412.8320	 0.058250
6412.8736	 0.056814
6412.9151	 0.050371
6412.9567	 0.039305
6412.9983	 0.032287
6413.0398	 0.032446
6413.0814	 0.031405
6413.1230	 0.027130
6413.1645	 0.024428
6413.2061	 0.022874
6413.2477	 0.018382
