##Wavelenght  51095.422
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.020437
6409.7473	 0.018958
6409.7869	 0.018545
6409.8266	 0.022172
6409.8662	 0.021956
6409.9058	 0.014546
6409.9455	 0.025920
6409.9851	 0.020231
6410.0247	 0.022299
6410.0643	 0.036316
6410.1040	 0.033244
6410.1436	 0.027193
6410.1832	 0.036110
6410.2229	 0.040141
6410.2625	 0.040941
6410.3021	 0.049913
6410.3417	 0.052723
6410.3814	 0.057809
6410.4210	 0.060593
6410.4606	 0.060035
6410.5002	 0.071593
6410.5399	 0.072695
6410.5795	 0.075531
6410.6191	 0.077903
6410.6587	 0.080334
6410.6984	 0.084806
6410.7380	 0.079791
6410.7776	 0.083797
6410.8173	 0.088727
6410.8569	 0.082371
6410.8965	 0.082636
6410.9361	 0.081688
6410.9758	 0.080666
6411.0154	 0.086882
6411.0550	 0.089661
6411.0947	 0.080919
6411.1343	 0.090693
6411.1739	 0.091205
6411.2135	 0.088220
6411.2532	 0.088919
6411.2928	 0.087526
6411.3324	 0.089590
6411.3720	 0.093237
6411.4117	 0.093974
6411.4513	 0.091182
6411.4909	 0.081595
6411.5306	 0.080862
6411.5702	 0.088166
6411.6098	 0.078035
6411.6494	 0.084027
6411.6891	 0.080474
6411.7287	 0.081593
6411.7683	 0.085753
6411.8079	 0.079897
6411.8476	 0.067106
6411.8872	 0.076552
6411.9268	 0.084551
6411.9665	 0.081077
6412.0061	 0.079430
6412.0457	 0.082408
6412.0853	 0.085646
6412.1250	 0.080520
6412.1646	 0.077644
6412.2042	 0.083927
6412.2438	 0.074602
6412.2835	 0.077956
6412.3231	 0.082097
6412.3627	 0.074767
6412.4024	 0.078100
6412.4420	 0.073533
6412.4816	 0.079442
6412.5212	 0.079174
6412.5609	 0.075359
6412.6005	 0.070314
6412.6401	 0.077865
6412.6797	 0.080365
6412.7194	 0.066184
6412.7590	 0.063890
6412.7986	 0.062153
6412.8383	 0.055185
6412.8779	 0.052564
6412.9175	 0.048369
6412.9571	 0.036917
6412.9968	 0.041455
6413.0364	 0.039679
6413.0760	 0.039324
6413.1156	 0.035114
6413.1553	 0.037581
6413.1949	 0.030448
