##Wavelenght  51003.523
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.019280
6409.6588	 0.024011
6409.6988	 0.022413
6409.7388	 0.018221
6409.7788	 0.020265
6409.8187	 0.012533
6409.8587	 0.011238
6409.8987	 0.020370
6409.9387	 0.020946
6409.9787	 0.019207
6410.0187	 0.023977
6410.0587	 0.028144
6410.0987	 0.024948
6410.1387	 0.028888
6410.1786	 0.030403
6410.2186	 0.031530
6410.2586	 0.035419
6410.2986	 0.043544
6410.3386	 0.042582
6410.3786	 0.046844
6410.4186	 0.044376
6410.4586	 0.049470
6410.4986	 0.059312
6410.5385	 0.067146
6410.5785	 0.068276
6410.6185	 0.069951
6410.6585	 0.074882
6410.6985	 0.084627
6410.7385	 0.083757
6410.7785	 0.078852
6410.8185	 0.078542
6410.8585	 0.081110
6410.8985	 0.086598
6410.9384	 0.091289
6410.9784	 0.091759
6411.0184	 0.091162
6411.0584	 0.089048
6411.0984	 0.089370
6411.1384	 0.087428
6411.1784	 0.086742
6411.2184	 0.090382
6411.2584	 0.090050
6411.2983	 0.077559
6411.3383	 0.084816
6411.3783	 0.084455
6411.4183	 0.086535
6411.4583	 0.078468
6411.4983	 0.085198
6411.5383	 0.087069
6411.5783	 0.083698
6411.6183	 0.083447
6411.6582	 0.085608
6411.6982	 0.083098
6411.7382	 0.080314
6411.7782	 0.083638
6411.8182	 0.084179
6411.8582	 0.083402
6411.8982	 0.087159
6411.9382	 0.088838
6411.9782	 0.086041
6412.0181	 0.079723
6412.0581	 0.071765
6412.0981	 0.076472
6412.1381	 0.073200
6412.1781	 0.071740
6412.2181	 0.079545
6412.2581	 0.079107
6412.2981	 0.082216
6412.3381	 0.079054
6412.3781	 0.073465
6412.4180	 0.068378
6412.4580	 0.068462
6412.4980	 0.069490
6412.5380	 0.068155
6412.5780	 0.063470
6412.6180	 0.065053
6412.6580	 0.067323
6412.6980	 0.061967
6412.7380	 0.057696
6412.7779	 0.061105
6412.8179	 0.065555
6412.8579	 0.063833
6412.8979	 0.058021
6412.9379	 0.051059
6412.9779	 0.042589
6413.0179	 0.035467
6413.0579	 0.029787
6413.0979	 0.021903
6413.1378	 0.023911
