##Wavelenght  49585.410
lambda	Flux
0.1nm	---
---------	---------
6409.5896	 0.017756
6409.6312	 0.019780
6409.6727	 0.015529
6409.7143	 0.013496
6409.7559	 0.016489
6409.7974	 0.018733
6409.8390	 0.018696
6409.8806	 0.017568
6409.9222	 0.019224
6409.9637	 0.018678
6410.0053	 0.018101
6410.0469	 0.020361
6410.0884	 0.019497
6410.1300	 0.021683
6410.1716	 0.027488
6410.2131	 0.028203
6410.2547	 0.032239
6410.2963	 0.041479
6410.3378	 0.045217
6410.3794	 0.051083
6410.4210	 0.054644
6410.4626	 0.061014
6410.5041	 0.062083
6410.5457	 0.061113
6410.5873	 0.069628
6410.6288	 0.072437
6410.6704	 0.073353
6410.7120	 0.072508
6410.7535	 0.070175
6410.7951	 0.068021
6410.8367	 0.071202
6410.8782	 0.078742
6410.9198	 0.086593
6410.9614	 0.089421
6411.0029	 0.086019
6411.0445	 0.088015
6411.0861	 0.087011
6411.1277	 0.086371
6411.1692	 0.086907
6411.2108	 0.084745
6411.2524	 0.087076
6411.2939	 0.093428
6411.3355	 0.093455
6411.3771	 0.088928
6411.4186	 0.085324
6411.4602	 0.084043
6411.5018	 0.086183
6411.5433	 0.087664
6411.5849	 0.088556
6411.6265	 0.087660
6411.6681	 0.084462
6411.7096	 0.083213
6411.7512	 0.081585
6411.7928	 0.080052
6411.8343	 0.078856
6411.8759	 0.077072
6411.9175	 0.073507
6411.9590	 0.073723
6412.0006	 0.079091
6412.0422	 0.084182
6412.0837	 0.083815
6412.1253	 0.082850
6412.1669	 0.087303
6412.2085	 0.083470
6412.2500	 0.078495
6412.2916	 0.076940
6412.3332	 0.072757
6412.3747	 0.072382
6412.4163	 0.070612
6412.4579	 0.068411
6412.4994	 0.065628
6412.5410	 0.067384
6412.5826	 0.067747
6412.6241	 0.069355
6412.6657	 0.069569
6412.7073	 0.058096
6412.7488	 0.055582
6412.7904	 0.057982
6412.8320	 0.056427
6412.8736	 0.046508
6412.9151	 0.045608
6412.9567	 0.045874
6412.9983	 0.040807
6413.0398	 0.030439
6413.0814	 0.023649
6413.1230	 0.019777
6413.1645	 0.018769
6413.2061	 0.015402
6413.2477	 0.016449
