##Wavelenght  49560.305
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.010246
6427.6340	 0.002587
6427.7346	 0.003074
6427.8352	 0.010013
6427.9359	 0.007453
6428.0365	 0.005374
6428.1371	 0.002427
6428.2377	 0.003356
6428.3384	 0.003248
6428.4390	 0.008065
6428.5396	 0.007442
6428.6402	-0.004602
6428.7409	 0.002383
6428.8415	 0.013538
6428.9421	 0.015782
6429.0427	 0.014779
6429.1434	 0.011460
6429.2440	 0.019335
6429.3446	 0.023831
6429.4452	 0.025712
6429.5459	 0.036771
6429.6465	 0.054316
6429.7471	 0.061285
6429.8477	 0.067425
6429.9484	 0.072017
6430.0490	 0.060350
6430.1496	 0.063957
6430.2502	 0.073457
6430.3509	 0.066789
6430.4515	 0.073719
6430.5521	 0.075761
6430.6527	 0.066745
6430.7534	 0.080327
6430.8540	 0.088377
6430.9546	 0.087700
6431.0552	 0.092502
6431.1559	 0.087756
6431.2565	 0.089300
6431.3571	 0.091240
6431.4577	 0.085970
6431.5584	 0.089378
6431.6590	 0.090383
6431.7596	 0.077872
6431.8602	 0.088121
6431.9609	 0.083680
6432.0615	 0.071090
6432.1621	 0.067755
6432.2627	 0.061455
6432.3634	 0.056932
6432.4640	 0.061527
6432.5646	 0.065509
6432.6652	 0.051221
6432.7659	 0.041832
6432.8665	 0.052174
6432.9671	 0.061651
6433.0677	 0.054893
6433.1684	 0.042622
6433.2690	 0.047119
6433.3696	 0.048099
6433.4702	 0.044061
6434.0740	 0.028926
6434.1746	 0.015855
6434.2752	 0.001736
6434.3759	 0.005226
6434.4765	 0.015615
6434.5771	 0.003896
6434.6777	 0.004121
6434.7784	 0.008970
6434.8790	 0.007438
6434.9796	 0.007636
6436.6502	 0.027714
6436.7509	 0.022840
6436.8515	 0.013192
6436.9521	 0.011432
6437.0527	 0.016372
6437.1534	 0.010684
6437.2540	 0.013436
6437.3546	 0.015835
6437.4552	 0.017396
6437.5559	 0.035229
6437.6565	 0.057091
6437.7571	 0.055002
6437.8577	 0.070368
6437.9584	 0.082341
6438.0590	 0.082402
6438.1596	 0.098587
6438.2602	 0.099343
6438.3609	 0.106797
6438.4615	 0.104667
6438.5621	 0.101301
6438.6627	 0.093306
6438.7634	 0.099081
6438.8640	 0.099390
6438.9646	 0.100933
6439.0652	 0.106330
6439.1659	 0.115027
6439.2665	 0.113179
6439.3671	 0.097577
6439.4677	 0.093302
6439.5684	 0.086067
6439.6690	 0.103107
6439.7696	 0.116926
6439.8702	 0.103527
6439.9709	 0.094770
6440.0715	 0.092804
6440.1721	 0.083673
6440.2727	 0.068521
6440.3734	 0.048688
6440.4740	 0.041335
6440.5746	 0.027883
6440.6752	 0.023774
6440.7759	 0.025837
6440.8765	 0.019943
