##Wavelenght  50623.621
lambda	Flux
0.1nm	---
---------	---------
6409.8066	 0.009737
6409.8482	 0.014369
6409.8899	 0.016029
6409.9315	 0.019310
6409.9732	 0.019187
6410.0148	 0.020742
6410.0565	 0.022512
6410.0981	 0.021326
6410.1398	 0.027908
6410.1814	 0.031115
6410.2231	 0.034456
6410.2647	 0.037568
6410.3064	 0.045506
6410.3480	 0.055017
6410.3897	 0.053083
6410.4313	 0.056405
6410.4730	 0.061657
6410.5146	 0.071542
6410.5562	 0.067599
6410.5979	 0.070494
6410.6395	 0.077536
6410.6812	 0.073273
6410.7228	 0.074384
6410.7645	 0.081043
6410.8061	 0.079283
6410.8478	 0.082432
6410.8894	 0.078437
6410.9311	 0.080244
6410.9727	 0.081801
6411.0144	 0.084882
6411.0560	 0.082739
6411.0977	 0.086906
6411.1393	 0.084918
6411.1810	 0.083845
6411.2226	 0.081620
6411.2642	 0.083955
6411.3059	 0.084652
6411.3475	 0.089062
6411.3892	 0.091799
6411.4308	 0.088459
6411.4725	 0.088965
6411.5141	 0.094145
6411.5558	 0.091487
6411.5974	 0.086234
6411.6391	 0.087221
6411.6807	 0.088475
6411.7224	 0.088241
6411.7640	 0.089595
6411.8057	 0.087561
6411.8473	 0.083609
6411.8889	 0.083161
6411.9306	 0.085302
6411.9722	 0.085118
6412.0139	 0.082604
6412.0555	 0.086369
6412.0972	 0.089195
6412.1388	 0.086211
6412.1805	 0.083923
6412.2221	 0.079554
6412.2638	 0.078789
6412.3054	 0.083458
6412.3471	 0.087375
6412.3887	 0.084565
6412.4304	 0.082581
6412.4720	 0.082756
6412.5137	 0.079163
6412.5553	 0.076068
6412.5969	 0.074316
6412.6386	 0.073692
6412.6802	 0.071279
6412.7219	 0.063379
6412.7635	 0.061399
6412.8052	 0.059675
6412.8468	 0.052232
6412.8885	 0.045764
6412.9301	 0.047255
6412.9718	 0.042717
6413.0134	 0.034520
6413.0551	 0.031618
6413.0967	 0.028936
6413.1384	 0.031224
6413.1800	 0.026247
6413.2217	 0.024333
6413.2633	 0.019218
6413.3049	 0.021628
6413.3466	 0.027383
6413.3882	 0.026960
6427.0090	 0.006886
6427.0507	 0.004967
