##Wavelenght  49559.480
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.009226
6427.6340	 0.000256
6427.7346	-0.000123
6427.8352	 0.004890
6427.9359	 0.008553
6428.0365	 0.013267
6428.1371	 0.009162
6428.2377	 0.005284
6428.3384	 0.006424
6428.4390	 0.007945
6428.5396	 0.006466
6428.6402	 0.004880
6428.7409	 0.004567
6428.8415	 0.003530
6428.9421	 0.008477
6429.0427	 0.009193
6429.1434	 0.007060
6429.2440	 0.016010
6429.3446	 0.022548
6429.4452	 0.031690
6429.5459	 0.043045
6429.6465	 0.059963
6429.7471	 0.062961
6429.8477	 0.068979
6429.9484	 0.077334
6430.0490	 0.081474
6430.1496	 0.079111
6430.2502	 0.073457
6430.3509	 0.074708
6430.4515	 0.073987
6430.5521	 0.074533
6430.6527	 0.076316
6430.7534	 0.071898
6430.8540	 0.072855
6430.9546	 0.071377
6431.0552	 0.068341
6431.1559	 0.071131
6431.2565	 0.078877
6431.3571	 0.086878
6431.4577	 0.090367
6431.5584	 0.100008
6431.6590	 0.102330
6431.7596	 0.096264
6431.8602	 0.096517
6431.9609	 0.093065
6432.0615	 0.082100
6432.1621	 0.068105
6432.2627	 0.063734
6432.3634	 0.057802
6432.4640	 0.047613
6432.5646	 0.043557
6432.6652	 0.045739
6432.7659	 0.047379
6432.8665	 0.047980
6432.9671	 0.042744
6433.0677	 0.046988
6433.1684	 0.048262
6433.2690	 0.044087
6433.3696	 0.046284
6433.4702	 0.043840
6434.0740	 0.020863
6434.1746	 0.021776
6434.2752	 0.015509
6434.3759	 0.005452
6434.4765	 0.009242
6434.5771	 0.017421
6434.6777	 0.020020
6434.7784	 0.008011
6434.8790	 0.007879
6434.9796	 0.008441
6436.6502	 0.013327
6436.7509	 0.012579
6436.8515	 0.012909
6436.9521	 0.009755
6437.0527	 0.009563
6437.1534	 0.017499
6437.2540	 0.027719
6437.3546	 0.028370
6437.4552	 0.020874
6437.5559	 0.025003
6437.6565	 0.041729
6437.7571	 0.058250
6437.8577	 0.071305
6437.9584	 0.078832
6438.0590	 0.088305
6438.1596	 0.098428
6438.2602	 0.099674
6438.3609	 0.097250
6438.4615	 0.106416
6438.5621	 0.109977
6438.6627	 0.107384
6438.7634	 0.112670
6438.8640	 0.112205
6438.9646	 0.110870
6439.0652	 0.104296
6439.1659	 0.107503
6439.2665	 0.111660
6439.3671	 0.107966
6439.4677	 0.104968
6439.5684	 0.101168
6439.6690	 0.107521
6439.7696	 0.109715
6439.8702	 0.101876
6439.9709	 0.094484
6440.0715	 0.088153
6440.1721	 0.078738
6440.2727	 0.068200
6440.3734	 0.051480
6440.4740	 0.034412
6440.5746	 0.026570
6440.6752	 0.021697
6440.7759	 0.017931
6440.8765	 0.015462
