##Wavelenght  49584.410 
lambda	Flux
0.1nm	---
---------	---------
6409.5896	 0.021630
6409.6312	 0.017225
6409.6727	 0.015832
6409.7143	 0.017447
6409.7559	 0.019941
6409.7974	 0.021728
6409.8390	 0.021105
6409.8806	 0.018817
6409.9222	 0.014999
6409.9637	 0.019318
6410.0053	 0.024584
6410.0469	 0.021131
6410.0884	 0.020680
6410.1300	 0.023566
6410.1716	 0.025448
6410.2131	 0.027160
6410.2547	 0.033741
6410.2963	 0.040150
6410.3378	 0.042806
6410.3794	 0.046845
6410.4210	 0.054629
6410.4626	 0.060263
6410.5041	 0.059527
6410.5457	 0.063641
6410.5873	 0.066758
6410.6288	 0.070062
6410.6704	 0.075826
6410.7120	 0.072658
6410.7535	 0.073772
6410.7951	 0.075284
6410.8367	 0.078973
6410.8782	 0.078932
6410.9198	 0.077553
6410.9614	 0.081603
6411.0029	 0.087246
6411.0445	 0.081975
6411.0861	 0.083475
6411.1277	 0.083476
6411.1692	 0.084437
6411.2108	 0.087132
6411.2524	 0.089508
6411.2939	 0.082714
6411.3355	 0.081389
6411.3771	 0.079205
6411.4186	 0.080885
6411.4602	 0.080370
6411.5018	 0.081829
6411.5433	 0.081142
6411.5849	 0.077974
6411.6265	 0.079749
6411.6681	 0.081767
6411.7096	 0.081465
6411.7512	 0.081075
6411.7928	 0.079923
6411.8343	 0.080622
6411.8759	 0.083191
6411.9175	 0.082157
6411.9590	 0.078023
6412.0006	 0.076633
6412.0422	 0.078757
6412.0837	 0.079133
6412.1253	 0.079937
6412.1669	 0.084042
6412.2085	 0.087957
6412.2500	 0.083599
6412.2916	 0.083442
6412.3332	 0.076774
6412.3747	 0.076540
6412.4163	 0.081019
6412.4579	 0.078977
6412.4994	 0.076978
6412.5410	 0.073216
6412.5826	 0.074358
6412.6241	 0.065135
6412.6657	 0.064612
6412.7073	 0.065709
6412.7488	 0.059090
6412.7904	 0.055823
6412.8320	 0.060607
6412.8736	 0.055942
6412.9151	 0.046825
6412.9567	 0.041639
6412.9983	 0.039169
6413.0398	 0.039538
6413.0814	 0.029410
6413.1230	 0.026444
6413.1645	 0.018723
6413.2061	 0.021287
6413.2477	 0.019323
