##Wavelenght  50998.559
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.002735
6409.6588	 0.009136
6409.6988	 0.012807
6409.7388	 0.015079
6409.7788	 0.010550
6409.8187	 0.012307
6409.8587	 0.013703
6409.8987	 0.022171
6409.9387	 0.014975
6409.9787	 0.020293
6410.0187	 0.017077
6410.0587	 0.022065
6410.0987	 0.031341
6410.1387	 0.030731
6410.1786	 0.027541
6410.2186	 0.028489
6410.2586	 0.032243
6410.2986	 0.034428
6410.3386	 0.041587
6410.3786	 0.051365
6410.4186	 0.056206
6410.4586	 0.058178
6410.4986	 0.065392
6410.5385	 0.072883
6410.5785	 0.073887
6410.6185	 0.075389
6410.6585	 0.072961
6410.6985	 0.075256
6410.7385	 0.083492
6410.7785	 0.089622
6410.8185	 0.088925
6410.8585	 0.086839
6410.8985	 0.085992
6410.9384	 0.083544
6410.9784	 0.081982
6411.0184	 0.084710
6411.0584	 0.085783
6411.0984	 0.090979
6411.1384	 0.089802
6411.1784	 0.085054
6411.2184	 0.092191
6411.2584	 0.091766
6411.2983	 0.088428
6411.3383	 0.088502
6411.3783	 0.090085
6411.4183	 0.093031
6411.4583	 0.095897
6411.4983	 0.094952
6411.5383	 0.087722
6411.5783	 0.081004
6411.6183	 0.084213
6411.6582	 0.086931
6411.6982	 0.084081
6411.7382	 0.086459
6411.7782	 0.086340
6411.8182	 0.085307
6411.8582	 0.085885
6411.8982	 0.089787
6411.9382	 0.089774
6411.9782	 0.083551
6412.0181	 0.083222
6412.0581	 0.083487
6412.0981	 0.076430
6412.1381	 0.087321
6412.1781	 0.091535
6412.2181	 0.088045
6412.2581	 0.082511
6412.2981	 0.085934
6412.3381	 0.091260
6412.3781	 0.090216
6412.4180	 0.084730
6412.4580	 0.083874
6412.4980	 0.085782
6412.5380	 0.081899
6412.5780	 0.073980
6412.6180	 0.067465
6412.6580	 0.064156
6412.6980	 0.065297
6412.7380	 0.062943
6412.7779	 0.053703
6412.8179	 0.054969
6412.8579	 0.056500
6412.8979	 0.050979
6412.9379	 0.045380
6412.9779	 0.048218
6413.0179	 0.039104
6413.0579	 0.030301
6413.0979	 0.024636
6413.1378	 0.022567
