##Wavelenght  51096.453
lambda	Flux
0.1nm	---
---------	---------
6409.7077	 0.014140
6409.7473	 0.028332
6409.7869	 0.013024
6409.8266	 0.025489
6409.8662	 0.036238
6409.9058	 0.017661
6409.9455	 0.029808
6409.9851	 0.035549
6410.0247	 0.016827
6410.0643	 0.043278
6410.1040	 0.033044
6410.1436	 0.023126
6410.1832	 0.015987
6410.2229	 0.028605
6410.2625	 0.050288
6410.3021	 0.042299
6410.3417	 0.044342
6410.3814	 0.047127
6410.4210	 0.061990
6410.4606	 0.056389
6410.5002	 0.045509
6410.5399	 0.060818
6410.5795	 0.071710
6410.6191	 0.082794
6410.6587	 0.083022
6410.6984	 0.072796
6410.7380	 0.089034
6410.7776	 0.076300
6410.8173	 0.086153
6410.8569	 0.078322
6410.8965	 0.067797
6410.9361	 0.085138
6410.9758	 0.077317
6411.0154	 0.080622
6411.0550	 0.077466
6411.0947	 0.074760
6411.1343	 0.077567
6411.1739	 0.075118
6411.2135	 0.087087
6411.2532	 0.096015
6411.2928	 0.105463
6411.3324	 0.076068
6411.3720	 0.088103
6411.4117	 0.088379
6411.4513	 0.075446
6411.4909	 0.058613
6411.5306	 0.082518
6411.5702	 0.091622
6411.6098	 0.076591
6411.6494	 0.093437
6411.6891	 0.098529
6411.7287	 0.076714
6411.7683	 0.076657
6411.8079	 0.080922
6411.8476	 0.085528
6411.8872	 0.097414
6411.9268	 0.078075
6411.9665	 0.078291
6412.0061	 0.066225
6412.0457	 0.096030
6412.0853	 0.089793
6412.1250	 0.090091
6412.1646	 0.076023
6412.2042	 0.082630
6412.2438	 0.080993
6412.2835	 0.083069
6412.3231	 0.094686
6412.3627	 0.092374
6412.4024	 0.077389
6412.4420	 0.060181
6412.4816	 0.062015
6412.5212	 0.068343
6412.5609	 0.059652
6412.6005	 0.064817
6412.6401	 0.066525
6412.6797	 0.076839
6412.7194	 0.072727
6412.7590	 0.078586
6412.7986	 0.066801
6412.8383	 0.057905
6412.8779	 0.044545
6412.9175	 0.063861
6412.9571	 0.054998
6412.9968	 0.026703
6413.0364	 0.042665
6413.0760	 0.033690
6413.1156	 0.013387
6413.1553	 0.022325
6413.1949	 0.033762
