##Wavelenght  49558.348
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.007094
6427.6340	 0.007168
6427.7346	 0.008405
6427.8352	 0.003716
6427.9359	 0.000821
6428.0365	 0.000823
6428.1371	 0.004090
6428.2377	 0.004843
6428.3384	 0.003370
6428.4390	-0.000836
6428.5396	 0.002629
6428.6402	 0.008299
6428.7409	 0.006281
6428.8415	 0.007845
6428.9421	 0.014603
6429.0427	 0.011127
6429.1434	 0.015819
6429.2440	 0.019582
6429.3446	 0.029355
6429.4452	 0.032508
6429.5459	 0.043184
6429.6465	 0.052791
6429.7471	 0.059393
6429.8477	 0.059468
6429.9484	 0.063999
6430.0490	 0.077994
6430.1496	 0.083390
6430.2502	 0.088558
6430.3509	 0.085489
6430.4515	 0.082847
6430.5521	 0.080266
6430.6527	 0.080845
6430.7534	 0.075250
6430.8540	 0.076824
6430.9546	 0.085307
6431.0552	 0.083796
6431.1559	 0.082730
6431.2565	 0.086190
6431.3571	 0.091325
6431.4577	 0.087610
6431.5584	 0.088722
6431.6590	 0.096083
6431.7596	 0.096804
6431.8602	 0.094587
6431.9609	 0.090244
6432.0615	 0.080863
6432.1621	 0.066018
6432.2627	 0.061771
6432.3634	 0.059417
6432.4640	 0.049640
6432.5646	 0.050388
6432.6652	 0.053114
6432.7659	 0.048738
6432.8665	 0.038646
6432.9671	 0.043263
6433.0677	 0.047306
6433.1684	 0.039737
6433.2690	 0.033601
6433.3696	 0.032516
6433.4702	 0.033249
6434.0740	 0.016161
6434.1746	 0.018781
6434.2752	 0.022240
6434.3759	 0.018936
6434.4765	 0.011919
6434.5771	 0.016113
6434.6777	 0.017614
6434.7784	 0.013625
6434.8790	 0.011031
6434.9796	 0.006689
6436.6502	 0.008632
6436.7509	 0.008687
6436.8515	 0.015174
6436.9521	 0.012614
6437.0527	 0.014133
6437.1534	 0.014327
6437.2540	 0.020213
6437.3546	 0.022708
6437.4552	 0.024506
6437.5559	 0.031995
6437.6565	 0.045286
6437.7571	 0.056948
6437.8577	 0.073506
6437.9584	 0.087094
6438.0590	 0.095792
6438.1596	 0.100582
6438.2602	 0.098347
6438.3609	 0.102520
6438.4615	 0.111489
6438.5621	 0.113065
6438.6627	 0.107946
6438.7634	 0.108698
6438.8640	 0.110501
6438.9646	 0.106727
6439.0652	 0.099180
6439.1659	 0.095903
6439.2665	 0.104737
6439.3671	 0.106928
6439.4677	 0.105179
6439.5684	 0.101407
6439.6690	 0.100763
6439.7696	 0.104464
6439.8702	 0.102800
6439.9709	 0.095255
6440.0715	 0.089010
6440.1721	 0.081074
6440.2727	 0.068583
6440.3734	 0.053105
6440.4740	 0.039626
6440.5746	 0.028899
6440.6752	 0.022139
6440.7759	 0.016942
6440.8765	 0.017391
