##Wavelenght  49910.598
lambda	Flux
0.1nm	---
---------	---------
6409.7224	 0.022899
6409.7640	 0.020683
6409.8056	 0.018575
6409.8471	 0.016450
6409.8887	 0.018417
6409.9303	 0.019460
6409.9719	 0.022136
6410.0135	 0.025054
6410.0551	 0.025211
6410.0967	 0.023129
6410.1383	 0.021478
6410.1798	 0.025142
6410.2214	 0.030010
6410.2630	 0.038521
6410.3046	 0.041793
6410.3462	 0.046898
6410.3878	 0.056208
6410.4294	 0.060734
6410.4710	 0.055026
6410.5125	 0.063117
6410.5541	 0.069640
6410.5957	 0.072691
6410.6373	 0.072730
6410.6789	 0.074890
6410.7205	 0.080292
6410.7621	 0.080876
6410.8037	 0.082557
6410.8452	 0.087269
6410.8868	 0.089877
6410.9284	 0.087189
6410.9700	 0.085710
6411.0116	 0.086155
6411.0532	 0.086772
6411.0948	 0.085777
6411.1363	 0.086400
6411.1779	 0.091068
6411.2195	 0.091948
6411.2611	 0.086766
6411.3027	 0.082814
6411.3443	 0.083288
6411.3859	 0.083685
6411.4275	 0.083531
6411.4690	 0.082757
6411.5106	 0.084614
6411.5522	 0.083984
6411.5938	 0.079487
6411.6354	 0.078666
6411.6770	 0.080445
6411.7186	 0.080741
6411.7602	 0.078447
6411.8017	 0.076463
6411.8433	 0.078219
6411.8849	 0.080631
6411.9265	 0.078647
6411.9681	 0.076898
6412.0097	 0.078006
6412.0513	 0.077776
6412.0929	 0.080742
6412.1344	 0.084140
6412.1760	 0.081626
6412.2176	 0.080535
6412.2592	 0.083943
6412.3008	 0.085383
6412.3424	 0.084665
6412.3840	 0.082827
6412.4255	 0.075798
6412.4671	 0.077382
6412.5087	 0.078662
6412.5503	 0.075333
6412.5919	 0.070569
6412.6335	 0.066290
6412.6751	 0.062948
6412.7167	 0.060882
6412.7582	 0.062026
6412.7998	 0.062316
6412.8414	 0.058193
6412.8830	 0.054080
6412.9246	 0.051948
6412.9662	 0.043365
6413.0078	 0.044111
6413.0494	 0.039867
6413.0909	 0.032368
6413.1325	 0.028707
6413.1741	 0.024540
6413.2157	 0.022216
6413.2573	 0.019566
6413.2989	 0.018120
6413.3405	 0.018412
6427.5633	 0.012085
