,wavelength,flux
0,0.01,3.280713257880199e-29
1,0.0225062656641604,3.2807855367347987e-29
2,0.0350125313283208,8.142712879775245e-21
3,0.0475187969924812,5.46242954477846e-16
4,0.060025062656641606,7.148814967915819e-13
5,0.072531328320802,1.0495535656372496e-10
6,0.0850375939849624,4.01713719569758e-09
7,0.09754385964912281,6.339719371263993e-08
8,0.1100501253132832,5.428801645681746e-07
9,0.1225563909774436,3.008256364150314e-06
10,0.13506265664160402,1.2138194523621133e-05
11,0.14756892230576443,3.867674403457538e-05
12,0.16007518796992481,0.00010298429760401152
13,0.17258145363408522,0.00023846113877089154
14,0.18508771929824563,0.0004939720429122277
15,0.19759398496240602,0.0009343970622907852
16,0.21010025062656643,0.0016386968677834558
17,0.22260651629072684,0.0026954200711161833
18,0.23511278195488722,0.004196202752754586
19,0.24761904761904763,0.0062282683434428925
20,0.26012531328320804,0.008867086709746402
21,0.27263157894736845,0.012170204241005522
22,0.28513784461152886,0.016172920997913637
23,0.2976441102756892,0.020886098649068017
24,0.3101503759398496,0.026296036477191528
25,0.32265664160401003,0.03236610671659352
26,0.33516290726817044,0.03903970692638912
27,0.34766917293233085,0.04624405072744826
28,0.36017543859649126,0.053894351609491235
29,0.3726817042606516,0.06189802896267138
30,0.385187969924812,0.07015865703490462
31,0.39769423558897243,0.07857946906504787
32,0.41020050125313284,0.0870663099849089
33,0.42270676691729325,0.09552999680559923
34,0.43521303258145366,0.10388809489103783
35,0.4477192982456141,0.11206615190578552
36,0.4602255639097744,0.11999845165312052
37,0.47273182957393484,0.12762836006808134
38,0.48523809523809525,0.1349083380143816
39,0.49774436090225566,0.14179969264467734
40,0.5102506265664161,0.14827213287799368
41,0.5227568922305764,0.15430318653643155
42,0.5352631578947369,0.15987752796861818
43,0.5477694235588972,0.16498625632968203
44,0.5602756892230577,0.16962615657365962
45,0.5727819548872181,0.17379896792447777
46,0.5852882205513784,0.177510678256464
47,0.5977944862155389,0.1807708574622756
48,0.6103007518796992,0.18359203847590028
49,0.6228070175438597,0.1859891510718398
50,0.63531328320802,0.18797901077930884
51,0.6478195488721805,0.18957986312567277
52,0.6603258145363409,0.1908109818516863
53,0.6728320802005012,0.19169231862454464
54,0.6853383458646617,0.19224420102551476
55,0.697844611528822,0.1924870751302685
56,0.7103508771929825,0.19244128876657457
57,0.7228571428571429,0.19212691147102393
58,0.7353634085213032,0.19156358722895436
59,0.7478696741854637,0.19077041623345622
60,0.760375939849624,0.18976586211128837
61,0.7728822055137845,0.18856768131320586
62,0.7853884711779449,0.18719287163619358
63,0.7978947368421053,0.18565763712239516
64,0.8104010025062657,0.183977366854524
65,0.822907268170426,0.18216662543348894
66,0.8354135338345865,0.18023915317616032
67,0.8479197994987469,0.1782078743068301
68,0.8604260651629073,0.17608491163321585
69,0.8729323308270677,0.17388160639625894
70,0.8854385964912281,0.1716085421624281
71,0.8979448621553885,0.1692755717883527
72,0.9104511278195488,0.16689184663119475
73,0.9229573934837093,0.16446584730537925
74,0.9354636591478697,0.16200541539831378
75,0.9479699248120301,0.15951778565583657
76,0.9604761904761905,0.15700961823362697
77,0.9729824561403508,0.15448703068491731
78,0.9854887218045113,0.1519556294187915
79,0.9979949874686717,0.14942054041823322
80,1.0105012531328321,0.14688643905394647
81,1.0230075187969925,0.14435757886982425
82,1.0355137844611528,0.14183781924949815
83,1.0480200501253134,0.1393306519017246
84,1.0605263157894738,0.13683922612583813
85,1.0730325814536341,0.13436637283800965
86,1.0855388471177945,0.13191462735503123
87,1.0980451127819548,0.12948625094530788
88,1.1105513784461154,0.1270832511671512
89,1.1230576441102758,0.12470740102266768
90,1.135563909774436,0.12236025696189307
91,1.1480701754385965,0.12004317577660867
92,1.1605764411027568,0.11775733042673871
93,1.1730827067669174,0.11550372484460128
94,1.1855889724310777,0.11328320776373958
95,1.198095238095238,0.11109648561977209
96,1.2106015037593985,0.10894413457079033
97,1.2231077694235588,0.10682661168443255
98,1.2356140350877194,0.10474426533797716
99,1.2481203007518797,0.10269734487667644
100,1.26062656641604,0.10068600957422809
101,1.2731328320802004,0.0987103369377458
102,1.285639097744361,0.09677033039794776
103,1.2981453634085214,0.0948659264235435
104,1.3106516290726817,0.09299700109701119
105,1.323157894736842,0.09116337618714582
106,1.3356641604010024,0.08936482475194693
107,1.348170426065163,0.0876010763036171
108,1.3606766917293234,0.08587182156568125
109,1.3731829573934837,0.08417671685051872
110,1.385689223057644,0.08251538808392878
111,1.3981954887218044,0.08088743450175112
112,1.410701754385965,0.07929243204201009
113,1.4232080200501254,0.07772993645457991
114,1.4357142857142857,0.07619948614895763
115,1.448220551378446,0.07470060479939004
116,1.4607268170426064,0.07323280372533436
117,1.473233082706767,0.07179558406402313
118,1.4857393483709274,0.07038843875077652
119,1.4982456140350877,0.06901085432162873
120,1.510751879699248,0.0676623125518325
121,1.5232581453634086,0.06634229194285782
122,1.535764411027569,0.06505026906961105
123,1.5482706766917294,0.0637857197987752
124,1.5607769423558897,0.06254812038838455
125,1.57328320802005,0.06133694847802577
126,1.5857894736842106,0.06015168397837411
127,1.598295739348371,0.05899180986813721
128,1.6108020050125313,0.05785681290588983
129,1.6233082706766917,0.05674618426372815
130,1.635814536340852,0.05565942008915844
131,1.6483208020050126,0.05459602200115886
132,1.660827067669173,0.05355549752590346
133,1.6733333333333333,0.05253736047722907
134,1.6858395989974937,0.05154113128653614
135,1.698345864661654,0.0505663372864614
136,1.7108521303258146,0.0496125129523255
137,1.723358395989975,0.048679200105054804
138,1.7358646616541353,0.04776594807898655
